ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,path,FileName
10.161.240.107,d70-s22-pm3,d70-s22-pm3.virt.daumkakao.io,datacenter70,d70-s22-cluster,datastore70-s22-pm3,10.61.238.107,10.61.239.107,10.61.238.172,10.61.239.172,10.61.238.202,10.61.239.202,10.161.243.107,/vmfs/volumes/d70-s22-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.108,d70-s22-pm4,d70-s22-pm4.virt.daumkakao.io,datacenter70,d70-s22-cluster,datastore70-s22-pm4,10.61.238.108,10.61.239.108,10.61.238.172,10.61.239.172,10.61.238.202,10.61.239.202,10.161.243.108,/vmfs/volumes/d70-s22-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.109,d70-s23-pm1,d70-s23-pm1.virt.daumkakao.io,datacenter70,d70-s23-cluster,datastore70-s23-pm1,10.61.238.109,10.61.239.109,10.61.238.173,10.61.239.173,10.61.238.203,10.61.239.203,10.161.243.109,/vmfs/volumes/d70-s23-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.110,d70-s23-pm2,d70-s23-pm2.virt.daumkakao.io,datacenter70,d70-s23-cluster,datastore70-s23-pm2,10.61.238.110,10.61.239.110,10.61.238.173,10.61.239.173,10.61.238.203,10.61.239.203,10.161.243.110,/vmfs/volumes/d70-s23-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.111,d70-s23-pm3,d70-s23-pm3.virt.daumkakao.io,datacenter70,d70-s23-cluster,datastore70-s23-pm3,10.61.238.111,10.61.239.111,10.61.238.173,10.61.239.173,10.61.238.203,10.61.239.203,10.161.243.111,/vmfs/volumes/d70-s23-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.112,d70-s23-pm4,d70-s23-pm4.virt.daumkakao.io,datacenter70,d70-s23-cluster,datastore70-s23-pm4,10.61.238.112,10.61.239.112,10.61.238.173,10.61.239.173,10.61.238.203,10.61.239.203,10.161.243.112,/vmfs/volumes/d70-s23-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.113,d70-s24-pm1,d70-s24-pm1.virt.daumkakao.io,datacenter70,d70-s24-cluster,datastore70-s24-pm1,10.61.238.113,10.61.239.113,10.61.238.174,10.61.239.174,10.61.238.204,10.61.239.204,10.161.243.113,/vmfs/volumes/d70-s24-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.114,d70-s24-pm2,d70-s24-pm2.virt.daumkakao.io,datacenter70,d70-s24-cluster,datastore70-s24-pm2,10.61.238.114,10.61.239.114,10.61.238.174,10.61.239.174,10.61.238.204,10.61.239.204,10.161.243.114,/vmfs/volumes/d70-s24-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.115,d70-s24-pm3,d70-s24-pm3.virt.daumkakao.io,datacenter70,d70-s24-cluster,datastore70-s24-pm3,10.61.238.115,10.61.239.115,10.61.238.174,10.61.239.174,10.61.238.204,10.61.239.204,10.161.243.115,/vmfs/volumes/d70-s24-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.116,d70-s24-pm4,d70-s24-pm4.virt.daumkakao.io,datacenter70,d70-s24-cluster,datastore70-s24-pm4,10.61.238.116,10.61.239.116,10.61.238.174,10.61.239.174,10.61.238.204,10.61.239.204,10.161.243.116,/vmfs/volumes/d70-s24-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.117,d70-s25-pm1,d70-s25-pm1.virt.daumkakao.io,datacenter70,d70-s25-cluster,datastore70-s25-pm1,10.61.238.117,10.61.239.117,10.61.238.175,10.61.239.175,10.61.238.205,10.61.239.205,10.161.243.117,/vmfs/volumes/d70-s25-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.118,d70-s25-pm2,d70-s25-pm2.virt.daumkakao.io,datacenter70,d70-s25-cluster,datastore70-s25-pm2,10.61.238.118,10.61.239.118,10.61.238.175,10.61.239.175,10.61.238.205,10.61.239.205,10.161.243.118,/vmfs/volumes/d70-s25-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.119,d70-s25-pm3,d70-s25-pm3.virt.daumkakao.io,datacenter70,d70-s25-cluster,datastore70-s25-pm3,10.61.238.119,10.61.239.119,10.61.238.175,10.61.239.175,10.61.238.205,10.61.239.205,10.161.243.119,/vmfs/volumes/d70-s25-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
10.161.240.120,d70-s25-pm4,d70-s25-pm4.virt.daumkakao.io,datacenter70,d70-s25-cluster,datastore70-s25-pm4,10.61.238.120,10.61.239.120,10.61.238.175,10.61.239.175,10.61.238.205,10.61.239.205,10.161.243.120,/vmfs/volumes/d70-s25-lun1/,QLG-bnx-6.0-offline_bundle-5105386.zip
