ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,d30-s1-pm1,d30-s1-pm1.virt.daumkakao.io,datacenter30,d30-s01-cluster,datastore30-s1-pm1,,,,,,,,d30-s01-cluster
,d30-s1-pm2,d30-s1-pm2.virt.daumkakao.io,datacenter30,d30-s01-cluster,datastore30-s1-pm2,,,,,,,,d30-s02-cluster
,d30-s1-pm3,d30-s1-pm3.virt.daumkakao.io,datacenter30,d30-s01-cluster,datastore30-s1-pm3,,,,,,,,d30-s03-cluster
,d30-s1-pm4,d30-s1-pm4.virt.daumkakao.io,datacenter30,d30-s01-cluster,datastore30-s1-pm4,,,,,,,,d30-s04-cluster
,d30-s2-pm1,d30-s2-pm1.virt.daumkakao.io,datacenter30,d30-s02-cluster,datastore30-s2-pm1,,,,,,,,d30-s05-cluster
,d30-s2-pm2,d30-s2-pm2.virt.daumkakao.io,datacenter30,d30-s02-cluster,datastore30-s2-pm2,,,,,,,,d30-s06-cluster
,d30-s2-pm3,d30-s2-pm3.virt.daumkakao.io,datacenter30,d30-s02-cluster,datastore30-s2-pm3,,,,,,,,d30-s07-cluster
,d30-s2-pm4,d30-s2-pm4.virt.daumkakao.io,datacenter30,d30-s02-cluster,datastore30-s2-pm4,,,,,,,,d30-s08-cluster
,d30-s3-pm1,d30-s3-pm1.virt.daumkakao.io,datacenter30,d30-s03-cluster,datastore30-s3-pm1,,,,,,,,d30-s09-cluster
,d30-s3-pm2,d30-s3-pm2.virt.daumkakao.io,datacenter30,d30-s03-cluster,datastore30-s3-pm2,,,,,,,,d30-s10-cluster
,d30-s3-pm3,d30-s3-pm3.virt.daumkakao.io,datacenter30,d30-s03-cluster,datastore30-s3-pm3,,,,,,,,d30-s11-cluster
,d30-s3-pm4,d30-s3-pm4.virt.daumkakao.io,datacenter30,d30-s03-cluster,datastore30-s3-pm4,,,,,,,,d30-s12-cluster
,d30-s4-pm1,d30-s4-pm1.virt.daumkakao.io,datacenter30,d30-s04-cluster,datastore30-s4-pm1,,,,,,,,d30-s13-cluster
,d30-s4-pm2,d30-s4-pm2.virt.daumkakao.io,datacenter30,d30-s04-cluster,datastore30-s4-pm2,,,,,,,,d30-s14-cluster
,d30-s4-pm3,d30-s4-pm3.virt.daumkakao.io,datacenter30,d30-s04-cluster,datastore30-s4-pm3,,,,,,,,d30-s15-cluster
,d30-s4-pm4,d30-s4-pm4.virt.daumkakao.io,datacenter30,d30-s04-cluster,datastore30-s4-pm4,,,,,,,,d30-s16-cluster
,d30-s5-pm1,d30-s5-pm1.virt.daumkakao.io,datacenter30,d30-s05-cluster,datastore30-s5-pm1,,,,,,,,d30-s17-cluster
,d30-s5-pm2,d30-s5-pm2.virt.daumkakao.io,datacenter30,d30-s05-cluster,datastore30-s5-pm2,,,,,,,,d30-s18-cluster
,d30-s5-pm3,d30-s5-pm3.virt.daumkakao.io,datacenter30,d30-s05-cluster,datastore30-s5-pm3,,,,,,,,d30-s19-cluster
,d30-s5-pm4,d30-s5-pm4.virt.daumkakao.io,datacenter30,d30-s05-cluster,datastore30-s5-pm4,,,,,,,,d30-s20-cluster
,d30-s6-pm1,d30-s6-pm1.virt.daumkakao.io,datacenter30,d30-s06-cluster,datastore30-s6-pm1,,,,,,,,d30-s21-cluster
,d30-s6-pm2,d30-s6-pm2.virt.daumkakao.io,datacenter30,d30-s06-cluster,datastore30-s6-pm2,,,,,,,,d30-s22-cluster
,d30-s6-pm3,d30-s6-pm3.virt.daumkakao.io,datacenter30,d30-s06-cluster,datastore30-s6-pm3,,,,,,,,
,d30-s6-pm4,d30-s6-pm4.virt.daumkakao.io,datacenter30,d30-s06-cluster,datastore30-s6-pm4,,,,,,,,
,d30-s7-pm1,d30-s7-pm1.virt.daumkakao.io,datacenter30,d30-s07-cluster,datastore30-s7-pm1,,,,,,,,
,d30-s7-pm2,d30-s7-pm2.virt.daumkakao.io,datacenter30,d30-s07-cluster,datastore30-s7-pm2,,,,,,,,
,d30-s7-pm3,d30-s7-pm3.virt.daumkakao.io,datacenter30,d30-s07-cluster,datastore30-s7-pm3,,,,,,,,
,d30-s7-pm4,d30-s7-pm4.virt.daumkakao.io,datacenter30,d30-s07-cluster,datastore30-s7-pm4,,,,,,,,
,d30-s8-pm1,d30-s8-pm1.virt.daumkakao.io,datacenter30,d30-s08-cluster,datastore30-s8-pm1,,,,,,,,
,d30-s8-pm2,d30-s8-pm2.virt.daumkakao.io,datacenter30,d30-s08-cluster,datastore30-s8-pm2,,,,,,,,
,d30-s8-pm3,d30-s8-pm3.virt.daumkakao.io,datacenter30,d30-s08-cluster,datastore30-s8-pm3,,,,,,,,
,d30-s8-pm4,d30-s8-pm4.virt.daumkakao.io,datacenter30,d30-s08-cluster,datastore30-s8-pm4,,,,,,,,
,d30-s9-pm1,d30-s9-pm1.virt.daumkakao.io,datacenter30,d30-s09-cluster,datastore30-s9-pm1,,,,,,,,
,d30-s9-pm2,d30-s9-pm2.virt.daumkakao.io,datacenter30,d30-s09-cluster,datastore30-s9-pm2,,,,,,,,
,d30-s9-pm3,d30-s9-pm3.virt.daumkakao.io,datacenter30,d30-s09-cluster,datastore30-s9-pm3,,,,,,,,
,d30-s9-pm4,d30-s9-pm4.virt.daumkakao.io,datacenter30,d30-s09-cluster,datastore30-s9-pm4,,,,,,,,
,d30-s10-pm1,d30-s10-pm1.virt.daumkakao.io,datacenter30,d30-s10-cluster,datastore30-s10-pm1,,,,,,,,
,d30-s10-pm2,d30-s10-pm2.virt.daumkakao.io,datacenter30,d30-s10-cluster,datastore30-s10-pm2,,,,,,,,
,d30-s10-pm3,d30-s10-pm3.virt.daumkakao.io,datacenter30,d30-s10-cluster,datastore30-s10-pm3,,,,,,,,
,d30-s10-pm4,d30-s10-pm4.virt.daumkakao.io,datacenter30,d30-s10-cluster,datastore30-s10-pm4,,,,,,,,
,d30-s11-pm1,d30-s11-pm1.virt.daumkakao.io,datacenter30,d30-s11-cluster,datastore30-s11-pm1,,,,,,,,
,d30-s11-pm2,d30-s11-pm2.virt.daumkakao.io,datacenter30,d30-s11-cluster,datastore30-s11-pm2,,,,,,,,
,d30-s11-pm3,d30-s11-pm3.virt.daumkakao.io,datacenter30,d30-s11-cluster,datastore30-s11-pm3,,,,,,,,
,d30-s11-pm4,d30-s11-pm4.virt.daumkakao.io,datacenter30,d30-s11-cluster,datastore30-s11-pm4,,,,,,,,
,d30-s12-pm1,d30-s12-pm1.virt.daumkakao.io,datacenter30,d30-s12-cluster,datastore30-s12-pm1,,,,,,,,
,d30-s12-pm2,d30-s12-pm2.virt.daumkakao.io,datacenter30,d30-s12-cluster,datastore30-s12-pm2,,,,,,,,
,d30-s12-pm3,d30-s12-pm3.virt.daumkakao.io,datacenter30,d30-s12-cluster,datastore30-s12-pm3,,,,,,,,
,d30-s12-pm4,d30-s12-pm4.virt.daumkakao.io,datacenter30,d30-s12-cluster,datastore30-s12-pm4,,,,,,,,
,d30-s13-pm1,d30-s13-pm1.virt.daumkakao.io,datacenter30,d30-s13-cluster,datastore30-s13-pm1,,,,,,,,
,d30-s13-pm2,d30-s13-pm2.virt.daumkakao.io,datacenter30,d30-s13-cluster,datastore30-s13-pm2,,,,,,,,
,d30-s13-pm3,d30-s13-pm3.virt.daumkakao.io,datacenter30,d30-s13-cluster,datastore30-s13-pm3,,,,,,,,
,d30-s13-pm4,d30-s13-pm4.virt.daumkakao.io,datacenter30,d30-s13-cluster,datastore30-s13-pm4,,,,,,,,
,d30-s14-pm1,d30-s14-pm1.virt.daumkakao.io,datacenter30,d30-s14-cluster,datastore30-s14-pm1,,,,,,,,
