ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,d30-s14-pm2,d30-s14-pm2.virt.daumkakao.io,datacenter30,d30-s14-cluster,datastore30-s14-pm2,,,,,,,,
,d30-s14-pm3,d30-s14-pm3.virt.daumkakao.io,datacenter30,d30-s14-cluster,datastore30-s14-pm3,,,,,,,,
,d30-s14-pm4,d30-s14-pm4.virt.daumkakao.io,datacenter30,d30-s14-cluster,datastore30-s14-pm4,,,,,,,,
,d30-s15-pm1,d30-s15-pm1.virt.daumkakao.io,datacenter30,d30-s15-cluster,datastore30-s15-pm1,,,,,,,,
,d30-s15-pm2,d30-s15-pm2.virt.daumkakao.io,datacenter30,d30-s15-cluster,datastore30-s15-pm2,,,,,,,,
,d30-s15-pm3,d30-s15-pm3.virt.daumkakao.io,datacenter30,d30-s15-cluster,datastore30-s15-pm3,,,,,,,,
,d30-s15-pm4,d30-s15-pm4.virt.daumkakao.io,datacenter30,d30-s15-cluster,datastore30-s15-pm4,,,,,,,,
,d30-s16-pm1,d30-s16-pm1.virt.daumkakao.io,datacenter30,d30-s16-cluster,datastore30-s16-pm1,,,,,,,,
,d30-s16-pm2,d30-s16-pm2.virt.daumkakao.io,datacenter30,d30-s16-cluster,datastore30-s16-pm2,,,,,,,,
,d30-s16-pm3,d30-s16-pm3.virt.daumkakao.io,datacenter30,d30-s16-cluster,datastore30-s16-pm3,,,,,,,,
,d30-s16-pm4,d30-s16-pm4.virt.daumkakao.io,datacenter30,d30-s16-cluster,datastore30-s16-pm4,,,,,,,,
,d30-s17-pm1,d30-s17-pm1.virt.daumkakao.io,datacenter30,d30-s17-cluster,datastore30-s17-pm1,,,,,,,,
,d30-s17-pm2,d30-s17-pm2.virt.daumkakao.io,datacenter30,d30-s17-cluster,datastore30-s17-pm2,,,,,,,,
,d30-s17-pm3,d30-s17-pm3.virt.daumkakao.io,datacenter30,d30-s17-cluster,datastore30-s17-pm3,,,,,,,,
,d30-s17-pm4,d30-s17-pm4.virt.daumkakao.io,datacenter30,d30-s17-cluster,datastore30-s17-pm4,,,,,,,,
,d30-s18-pm1,d30-s18-pm1.virt.daumkakao.io,datacenter30,d30-s18-cluster,datastore30-s18-pm1,,,,,,,,
,d30-s18-pm2,d30-s18-pm2.virt.daumkakao.io,datacenter30,d30-s18-cluster,datastore30-s18-pm2,,,,,,,,
,d30-s18-pm3,d30-s18-pm3.virt.daumkakao.io,datacenter30,d30-s18-cluster,datastore30-s18-pm3,,,,,,,,
,d30-s18-pm4,d30-s18-pm4.virt.daumkakao.io,datacenter30,d30-s18-cluster,datastore30-s18-pm4,,,,,,,,
,d30-s19-pm1,d30-s19-pm1.virt.daumkakao.io,datacenter30,d30-s19-cluster,datastore30-s19-pm1,,,,,,,,
,d30-s19-pm2,d30-s19-pm2.virt.daumkakao.io,datacenter30,d30-s19-cluster,datastore30-s19-pm2,,,,,,,,
,d30-s19-pm3,d30-s19-pm3.virt.daumkakao.io,datacenter30,d30-s19-cluster,datastore30-s19-pm3,,,,,,,,
,d30-s19-pm4,d30-s19-pm4.virt.daumkakao.io,datacenter30,d30-s19-cluster,datastore30-s19-pm4,,,,,,,,
,d30-s20-pm1,d30-s20-pm1.virt.daumkakao.io,datacenter30,d30-s20-cluster,datastore30-s20-pm1,,,,,,,,
,d30-s20-pm2,d30-s20-pm2.virt.daumkakao.io,datacenter30,d30-s20-cluster,datastore30-s20-pm2,,,,,,,,
,d30-s20-pm3,d30-s20-pm3.virt.daumkakao.io,datacenter30,d30-s20-cluster,datastore30-s20-pm3,,,,,,,,
,d30-s20-pm4,d30-s20-pm4.virt.daumkakao.io,datacenter30,d30-s20-cluster,datastore30-s20-pm4,,,,,,,,
,d30-s21-pm1,d30-s21-pm1.virt.daumkakao.io,datacenter30,d30-s21-cluster,datastore30-s21-pm1,,,,,,,,
,d30-s21-pm2,d30-s21-pm2.virt.daumkakao.io,datacenter30,d30-s21-cluster,datastore30-s21-pm2,,,,,,,,
,d30-s21-pm3,d30-s21-pm3.virt.daumkakao.io,datacenter30,d30-s21-cluster,datastore30-s21-pm3,,,,,,,,
,d30-s21-pm4,d30-s21-pm4.virt.daumkakao.io,datacenter30,d30-s21-cluster,datastore30-s21-pm4,,,,,,,,
,d30-s22-pm1,d30-s22-pm1.virt.daumkakao.io,datacenter30,d30-s22-cluster,datastore30-s22-pm1,,,,,,,,
,d30-s22-pm2,d30-s22-pm2.virt.daumkakao.io,datacenter30,d30-s22-cluster,datastore30-s22-pm2,,,,,,,,
,d30-s22-pm3,d30-s22-pm3.virt.daumkakao.io,datacenter30,d30-s22-cluster,datastore30-s22-pm3,,,,,,,,
,d30-s22-pm4,d30-s22-pm4.virt.daumkakao.io,datacenter30,d30-s22-cluster,datastore30-s22-pm4,,,,,,,,
