ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,d10-s15-pm4,d10-s15-pm4.virt.daumkakao.io,datacenter10,d10-s15-cluster,datastore10-s15-pm4,,,,,,,,
,d10-s16-pm1,d10-s16-pm1.virt.daumkakao.io,datacenter10,d10-s16-cluster,datastore10-s16-pm1,,,,,,,,
,d10-s16-pm2,d10-s16-pm2.virt.daumkakao.io,datacenter10,d10-s16-cluster,datastore10-s16-pm2,,,,,,,,
,d10-s16-pm3,d10-s16-pm3.virt.daumkakao.io,datacenter10,d10-s16-cluster,datastore10-s16-pm3,,,,,,,,
,d10-s16-pm4,d10-s16-pm4.virt.daumkakao.io,datacenter10,d10-s16-cluster,datastore10-s16-pm4,,,,,,,,
,d10-s17-pm1,d10-s17-pm1.virt.daumkakao.io,datacenter10,d10-s17-cluster,datastore10-s17-pm1,,,,,,,,
,d10-s17-pm2,d10-s17-pm2.virt.daumkakao.io,datacenter10,d10-s17-cluster,datastore10-s17-pm2,,,,,,,,
,d10-s17-pm3,d10-s17-pm3.virt.daumkakao.io,datacenter10,d10-s17-cluster,datastore10-s17-pm3,,,,,,,,
,d10-s17-pm4,d10-s17-pm4.virt.daumkakao.io,datacenter10,d10-s17-cluster,datastore10-s17-pm4,,,,,,,,
,d10-s18-pm1,d10-s18-pm1.virt.daumkakao.io,datacenter10,d10-s18-cluster,datastore10-s18-pm1,,,,,,,,
,d10-s18-pm2,d10-s18-pm2.virt.daumkakao.io,datacenter10,d10-s18-cluster,datastore10-s18-pm2,,,,,,,,
,d10-s18-pm3,d10-s18-pm3.virt.daumkakao.io,datacenter10,d10-s18-cluster,datastore10-s18-pm3,,,,,,,,
,d10-s18-pm4,d10-s18-pm4.virt.daumkakao.io,datacenter10,d10-s18-cluster,datastore10-s18-pm4,,,,,,,,
,d10-s19-pm1,d10-s19-pm1.virt.daumkakao.io,datacenter10,d10-s19-cluster,datastore10-s19-pm1,,,,,,,,
,d10-s19-pm2,d10-s19-pm2.virt.daumkakao.io,datacenter10,d10-s19-cluster,datastore10-s19-pm2,,,,,,,,
,d10-s19-pm3,d10-s19-pm3.virt.daumkakao.io,datacenter10,d10-s19-cluster,datastore10-s19-pm3,,,,,,,,
,d10-s19-pm4,d10-s19-pm4.virt.daumkakao.io,datacenter10,d10-s19-cluster,datastore10-s19-pm4,,,,,,,,
,d10-s20-pm1,d10-s20-pm1.virt.daumkakao.io,datacenter10,d10-s20-cluster,datastore10-s20-pm1,,,,,,,,
,d10-s20-pm2,d10-s20-pm2.virt.daumkakao.io,datacenter10,d10-s20-cluster,datastore10-s20-pm2,,,,,,,,
,d10-s20-pm3,d10-s20-pm3.virt.daumkakao.io,datacenter10,d10-s20-cluster,datastore10-s20-pm3,,,,,,,,
,d10-s20-pm4,d10-s20-pm4.virt.daumkakao.io,datacenter10,d10-s20-cluster,datastore10-s20-pm4,,,,,,,,
,d10-s21-pm1,d10-s21-pm1.virt.daumkakao.io,datacenter10,d10-s21-cluster,datastore10-s21-pm1,,,,,,,,
,d10-s21-pm2,d10-s21-pm2.virt.daumkakao.io,datacenter10,d10-s21-cluster,datastore10-s21-pm2,,,,,,,,
,d10-s21-pm3,d10-s21-pm3.virt.daumkakao.io,datacenter10,d10-s21-cluster,datastore10-s21-pm3,,,,,,,,
,d10-s21-pm4,d10-s21-pm4.virt.daumkakao.io,datacenter10,d10-s21-cluster,datastore10-s21-pm4,,,,,,,,
