ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
,d10-s1-pm1,d10-s1-pm1.virt.daumkakao.io,datacenter10,d10-s01-cluster,datastore10-s1-pm1,,,,,,,,d10-s01-cluster
,d10-s1-pm2,d10-s1-pm2.virt.daumkakao.io,datacenter10,d10-s01-cluster,datastore10-s1-pm2,,,,,,,,d10-s02-cluster
,d10-s1-pm3,d10-s1-pm3.virt.daumkakao.io,datacenter10,d10-s01-cluster,datastore10-s1-pm3,,,,,,,,d10-s03-cluster
,d10-s1-pm4,d10-s1-pm4.virt.daumkakao.io,datacenter10,d10-s01-cluster,datastore10-s1-pm4,,,,,,,,d10-s04-cluster
,d10-s2-pm1,d10-s2-pm1.virt.daumkakao.io,datacenter10,d10-s02-cluster,datastore10-s2-pm1,,,,,,,,d10-s05-cluster
,d10-s2-pm2,d10-s2-pm2.virt.daumkakao.io,datacenter10,d10-s02-cluster,datastore10-s2-pm2,,,,,,,,d10-s06-cluster
,d10-s2-pm3,d10-s2-pm3.virt.daumkakao.io,datacenter10,d10-s02-cluster,datastore10-s2-pm3,,,,,,,,d10-s07-cluster
,d10-s2-pm4,d10-s2-pm4.virt.daumkakao.io,datacenter10,d10-s02-cluster,datastore10-s2-pm4,,,,,,,,d10-s08-cluster
,d10-s3-pm1,d10-s3-pm1.virt.daumkakao.io,datacenter10,d10-s03-cluster,datastore10-s3-pm1,,,,,,,,d10-s09-cluster
,d10-s3-pm2,d10-s3-pm2.virt.daumkakao.io,datacenter10,d10-s03-cluster,datastore10-s3-pm2,,,,,,,,d10-s10-cluster
,d10-s3-pm3,d10-s3-pm3.virt.daumkakao.io,datacenter10,d10-s03-cluster,datastore10-s3-pm3,,,,,,,,d10-s11-cluster
,d10-s3-pm4,d10-s3-pm4.virt.daumkakao.io,datacenter10,d10-s03-cluster,datastore10-s3-pm4,,,,,,,,d10-s12-cluster
,d10-s4-pm1,d10-s4-pm1.virt.daumkakao.io,datacenter10,d10-s04-cluster,datastore10-s4-pm1,,,,,,,,d10-s13-cluster
,d10-s4-pm2,d10-s4-pm2.virt.daumkakao.io,datacenter10,d10-s04-cluster,datastore10-s4-pm2,,,,,,,,d10-s14-cluster
,d10-s4-pm3,d10-s4-pm3.virt.daumkakao.io,datacenter10,d10-s04-cluster,datastore10-s4-pm3,,,,,,,,d10-s15-cluster
,d10-s4-pm4,d10-s4-pm4.virt.daumkakao.io,datacenter10,d10-s04-cluster,datastore10-s4-pm4,,,,,,,,d10-s16-cluster
,d10-s5-pm1,d10-s5-pm1.virt.daumkakao.io,datacenter10,d10-s05-cluster,datastore10-s5-pm1,,,,,,,,d10-s17-cluster
,d10-s5-pm2,d10-s5-pm2.virt.daumkakao.io,datacenter10,d10-s05-cluster,datastore10-s5-pm2,,,,,,,,d10-s18-cluster
,d10-s5-pm3,d10-s5-pm3.virt.daumkakao.io,datacenter10,d10-s05-cluster,datastore10-s5-pm3,,,,,,,,d10-s19-cluster
,d10-s5-pm4,d10-s5-pm4.virt.daumkakao.io,datacenter10,d10-s05-cluster,datastore10-s5-pm4,,,,,,,,d10-s20-cluster
,d10-s6-pm1,d10-s6-pm1.virt.daumkakao.io,datacenter10,d10-s06-cluster,datastore10-s6-pm1,,,,,,,,d10-s21-cluster
,d10-s6-pm2,d10-s6-pm2.virt.daumkakao.io,datacenter10,d10-s06-cluster,datastore10-s6-pm2,,,,,,,,
,d10-s6-pm3,d10-s6-pm3.virt.daumkakao.io,datacenter10,d10-s06-cluster,datastore10-s6-pm3,,,,,,,,
,d10-s6-pm4,d10-s6-pm4.virt.daumkakao.io,datacenter10,d10-s06-cluster,datastore10-s6-pm4,,,,,,,,
,d10-s7-pm1,d10-s7-pm1.virt.daumkakao.io,datacenter10,d10-s07-cluster,datastore10-s7-pm1,,,,,,,,
,d10-s7-pm2,d10-s7-pm2.virt.daumkakao.io,datacenter10,d10-s07-cluster,datastore10-s7-pm2,,,,,,,,
,d10-s7-pm3,d10-s7-pm3.virt.daumkakao.io,datacenter10,d10-s07-cluster,datastore10-s7-pm3,,,,,,,,
,d10-s7-pm4,d10-s7-pm4.virt.daumkakao.io,datacenter10,d10-s07-cluster,datastore10-s7-pm4,,,,,,,,
,d10-s8-pm1,d10-s8-pm1.virt.daumkakao.io,datacenter10,d10-s08-cluster,datastore10-s8-pm1,,,,,,,,
,d10-s8-pm2,d10-s8-pm2.virt.daumkakao.io,datacenter10,d10-s08-cluster,datastore10-s8-pm2,,,,,,,,
,d10-s8-pm3,d10-s8-pm3.virt.daumkakao.io,datacenter10,d10-s08-cluster,datastore10-s8-pm3,,,,,,,,
,d10-s8-pm4,d10-s8-pm4.virt.daumkakao.io,datacenter10,d10-s08-cluster,datastore10-s8-pm4,,,,,,,,
,d10-s9-pm1,d10-s9-pm1.virt.daumkakao.io,datacenter10,d10-s09-cluster,datastore10-s9-pm1,,,,,,,,
,d10-s9-pm2,d10-s9-pm2.virt.daumkakao.io,datacenter10,d10-s09-cluster,datastore10-s9-pm2,,,,,,,,
,d10-s9-pm3,d10-s9-pm3.virt.daumkakao.io,datacenter10,d10-s09-cluster,datastore10-s9-pm3,,,,,,,,
,d10-s9-pm4,d10-s9-pm4.virt.daumkakao.io,datacenter10,d10-s09-cluster,datastore10-s9-pm4,,,,,,,,
,d10-s10-pm1,d10-s10-pm1.virt.daumkakao.io,datacenter10,d10-s10-cluster,datastore10-s10-pm1,,,,,,,,
,d10-s10-pm2,d10-s10-pm2.virt.daumkakao.io,datacenter10,d10-s10-cluster,datastore10-s10-pm2,,,,,,,,
,d10-s10-pm3,d10-s10-pm3.virt.daumkakao.io,datacenter10,d10-s10-cluster,datastore10-s10-pm3,,,,,,,,
,d10-s10-pm4,d10-s10-pm4.virt.daumkakao.io,datacenter10,d10-s10-cluster,datastore10-s10-pm4,,,,,,,,
,d10-s11-pm1,d10-s11-pm1.virt.daumkakao.io,datacenter10,d10-s11-cluster,datastore10-s11-pm1,,,,,,,,
,d10-s11-pm2,d10-s11-pm2.virt.daumkakao.io,datacenter10,d10-s11-cluster,datastore10-s11-pm2,,,,,,,,
,d10-s11-pm3,d10-s11-pm3.virt.daumkakao.io,datacenter10,d10-s11-cluster,datastore10-s11-pm3,,,,,,,,
,d10-s11-pm4,d10-s11-pm4.virt.daumkakao.io,datacenter10,d10-s11-cluster,datastore10-s11-pm4,,,,,,,,
,d10-s12-pm1,d10-s12-pm1.virt.daumkakao.io,datacenter10,d10-s12-cluster,datastore10-s12-pm1,,,,,,,,
,d10-s12-pm2,d10-s12-pm2.virt.daumkakao.io,datacenter10,d10-s12-cluster,datastore10-s12-pm2,,,,,,,,
,d10-s12-pm3,d10-s12-pm3.virt.daumkakao.io,datacenter10,d10-s12-cluster,datastore10-s12-pm3,,,,,,,,
,d10-s12-pm4,d10-s12-pm4.virt.daumkakao.io,datacenter10,d10-s12-cluster,datastore10-s12-pm4,,,,,,,,
,d10-s13-pm1,d10-s13-pm1.virt.daumkakao.io,datacenter10,d10-s13-cluster,datastore10-s13-pm1,,,,,,,,
,d10-s13-pm2,d10-s13-pm2.virt.daumkakao.io,datacenter10,d10-s13-cluster,datastore10-s13-pm2,,,,,,,,
,d10-s13-pm3,d10-s13-pm3.virt.daumkakao.io,datacenter10,d10-s13-cluster,datastore10-s13-pm3,,,,,,,,
,d10-s13-pm4,d10-s13-pm4.virt.daumkakao.io,datacenter10,d10-s13-cluster,datastore10-s13-pm4,,,,,,,,
,d10-s14-pm1,d10-s14-pm1.virt.daumkakao.io,datacenter10,d10-s14-cluster,datastore10-s14-pm1,,,,,,,,
,d10-s14-pm2,d10-s14-pm2.virt.daumkakao.io,datacenter10,d10-s14-cluster,datastore10-s14-pm2,,,,,,,,
,d10-s14-pm3,d10-s14-pm3.virt.daumkakao.io,datacenter10,d10-s14-cluster,datastore10-s14-pm3,,,,,,,,
,d10-s14-pm4,d10-s14-pm4.virt.daumkakao.io,datacenter10,d10-s14-cluster,datastore10-s14-pm4,,,,,,,,
,d10-s15-pm1,d10-s15-pm1.virt.daumkakao.io,datacenter10,d10-s15-cluster,datastore10-s15-pm1,,,,,,,,
,d10-s15-pm2,d10-s15-pm2.virt.daumkakao.io,datacenter10,d10-s15-cluster,datastore10-s15-pm2,,,,,,,,
,d10-s15-pm3,d10-s15-pm3.virt.daumkakao.io,datacenter10,d10-s15-cluster,datastore10-s15-pm3,,,,,,,,
