ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
10.141.252.34,d60-s4-pm2,d60-s4-pm2.virt.daumkakao.io,datacenter60,d60-s04-cluster,datastore60-s4-pm2,10.42.248.34,10.42.249.34,10.42.248.154,10.42.249.154,10.42.248.184,10.42.249.184,10.42.251.34,d60-s14-cluster
10.141.252.35,d60-s4-pm3,d60-s4-pm3.virt.daumkakao.io,datacenter60,d60-s04-cluster,datastore60-s4-pm3,10.42.248.35,10.42.249.35,10.42.248.154,10.42.249.154,10.42.248.184,10.42.249.184,10.42.251.35,d60-s15-cluster
10.141.252.36,d60-s4-pm4,d60-s4-pm4.virt.daumkakao.io,datacenter60,d60-s04-cluster,datastore60-s4-pm4,10.42.248.36,10.42.249.36,10.42.248.154,10.42.249.154,10.42.248.184,10.42.249.184,10.42.251.36,d60-s16-cluster
10.141.252.37,d60-s5-pm1,d60-s5-pm1.virt.daumkakao.io,datacenter60,d60-s05-cluster,datastore60-s5-pm1,10.42.248.37,10.42.249.37,10.42.248.155,10.42.249.155,10.42.248.185,10.42.249.185,10.42.251.37,d60-s17-cluster
10.141.252.38,d60-s5-pm2,d60-s5-pm2.virt.daumkakao.io,datacenter60,d60-s05-cluster,datastore60-s5-pm2,10.42.248.38,10.42.249.38,10.42.248.155,10.42.249.155,10.42.248.185,10.42.249.185,10.42.251.38,d60-s18-cluster
10.141.252.39,d60-s5-pm3,d60-s5-pm3.virt.daumkakao.io,datacenter60,d60-s05-cluster,datastore60-s5-pm3,10.42.248.39,10.42.249.39,10.42.248.155,10.42.249.155,10.42.248.185,10.42.249.185,10.42.251.39,d60-s19-cluster
10.141.252.40,d60-s5-pm4,d60-s5-pm4.virt.daumkakao.io,datacenter60,d60-s05-cluster,datastore60-s5-pm4,10.42.248.40,10.42.249.40,10.42.248.155,10.42.249.155,10.42.248.185,10.42.249.185,10.42.251.40,d60-s20-cluster
10.141.252.41,d60-s6-pm1,d60-s6-pm1.virt.daumkakao.io,datacenter60,d60-s06-cluster,datastore60-s6-pm1,10.42.248.41,10.42.249.41,10.42.248.156,10.42.249.156,10.42.248.186,10.42.249.186,10.42.251.41,d60-s21-cluster
10.141.252.42,d60-s6-pm2,d60-s6-pm2.virt.daumkakao.io,datacenter60,d60-s06-cluster,datastore60-s6-pm2,10.42.248.42,10.42.249.42,10.42.248.156,10.42.249.156,10.42.248.186,10.42.249.186,10.42.251.42,d60-s22-cluster
10.141.252.43,d60-s6-pm3,d60-s6-pm3.virt.daumkakao.io,datacenter60,d60-s06-cluster,datastore60-s6-pm3,10.42.248.43,10.42.249.43,10.42.248.156,10.42.249.156,10.42.248.186,10.42.249.186,10.42.251.43,d60-s23-cluster
10.141.252.44,d60-s6-pm4,d60-s6-pm4.virt.daumkakao.io,datacenter60,d60-s06-cluster,datastore60-s6-pm4,10.42.248.44,10.42.249.44,10.42.248.156,10.42.249.156,10.42.248.186,10.42.249.186,10.42.251.44,d60-s24-cluster
10.141.252.45,d60-s7-pm1,d60-s7-pm1.virt.daumkakao.io,datacenter60,d60-s07-cluster,datastore60-s7-pm1,10.42.248.45,10.42.249.45,10.42.248.157,10.42.249.157,10.42.248.187,10.42.249.187,10.42.251.45,d60-s25-cluster
10.141.252.46,d60-s7-pm2,d60-s7-pm2.virt.daumkakao.io,datacenter60,d60-s07-cluster,datastore60-s7-pm2,10.42.248.46,10.42.249.46,10.42.248.157,10.42.249.157,10.42.248.187,10.42.249.187,10.42.251.46,
10.141.252.47,d60-s7-pm3,d60-s7-pm3.virt.daumkakao.io,datacenter60,d60-s07-cluster,datastore60-s7-pm3,10.42.248.47,10.42.249.47,10.42.248.157,10.42.249.157,10.42.248.187,10.42.249.187,10.42.251.47,
10.141.252.48,d60-s7-pm4,d60-s7-pm4.virt.daumkakao.io,datacenter60,d60-s07-cluster,datastore60-s7-pm4,10.42.248.48,10.42.249.48,10.42.248.157,10.42.249.157,10.42.248.187,10.42.249.187,10.42.251.48,
10.141.252.49,d60-s8-pm1,d60-s8-pm1.virt.daumkakao.io,datacenter60,d60-s08-cluster,datastore60-s8-pm1,10.42.248.49,10.42.249.49,10.42.248.158,10.42.249.158,10.42.248.188,10.42.249.188,10.42.251.49,
10.141.252.50,d60-s8-pm2,d60-s8-pm2.virt.daumkakao.io,datacenter60,d60-s08-cluster,datastore60-s8-pm2,10.42.248.50,10.42.249.50,10.42.248.158,10.42.249.158,10.42.248.188,10.42.249.188,10.42.251.50,
10.141.252.51,d60-s8-pm3,d60-s8-pm3.virt.daumkakao.io,datacenter60,d60-s08-cluster,datastore60-s8-pm3,10.42.248.51,10.42.249.51,10.42.248.158,10.42.249.158,10.42.248.188,10.42.249.188,10.42.251.51,
10.141.252.52,d60-s8-pm4,d60-s8-pm4.virt.daumkakao.io,datacenter60,d60-s08-cluster,datastore60-s8-pm4,10.42.248.52,10.42.249.52,10.42.248.158,10.42.249.158,10.42.248.188,10.42.249.188,10.42.251.52,
10.141.252.53,d60-s9-pm1,d60-s9-pm1.virt.daumkakao.io,datacenter60,d60-s09-cluster,datastore60-s9-pm1,10.42.248.53,10.42.249.53,10.42.248.159,10.42.249.159,10.42.248.189,10.42.249.189,10.42.251.53,
10.141.252.54,d60-s9-pm2,d60-s9-pm2.virt.daumkakao.io,datacenter60,d60-s09-cluster,datastore60-s9-pm2,10.42.248.54,10.42.249.54,10.42.248.159,10.42.249.159,10.42.248.189,10.42.249.189,10.42.251.54,
10.141.252.55,d60-s9-pm3,d60-s9-pm3.virt.daumkakao.io,datacenter60,d60-s09-cluster,datastore60-s9-pm3,10.42.248.55,10.42.249.55,10.42.248.159,10.42.249.159,10.42.248.189,10.42.249.189,10.42.251.55,
10.141.252.56,d60-s9-pm4,d60-s9-pm4.virt.daumkakao.io,datacenter60,d60-s09-cluster,datastore60-s9-pm4,10.42.248.56,10.42.249.56,10.42.248.159,10.42.249.159,10.42.248.189,10.42.249.189,10.42.251.56,
10.141.252.57,d60-s10-pm1,d60-s10-pm1.virt.daumkakao.io,datacenter60,d60-s10-cluster,datastore60-s10-pm1,10.42.248.57,10.42.249.57,10.42.248.160,10.42.249.160,10.42.248.190,10.42.249.190,10.42.251.57,
10.141.252.58,d60-s10-pm2,d60-s10-pm2.virt.daumkakao.io,datacenter60,d60-s10-cluster,datastore60-s10-pm2,10.42.248.58,10.42.249.58,10.42.248.160,10.42.249.160,10.42.248.190,10.42.249.190,10.42.251.58,
10.141.252.59,d60-s10-pm3,d60-s10-pm3.virt.daumkakao.io,datacenter60,d60-s10-cluster,datastore60-s10-pm3,10.42.248.59,10.42.249.59,10.42.248.160,10.42.249.160,10.42.248.190,10.42.249.190,10.42.251.59,
10.141.252.60,d60-s10-pm4,d60-s10-pm4.virt.daumkakao.io,datacenter60,d60-s10-cluster,datastore60-s10-pm4,10.42.248.60,10.42.249.60,10.42.248.160,10.42.249.160,10.42.248.190,10.42.249.190,10.42.251.60,
10.141.252.61,d60-s11-pm1,d60-s11-pm1.virt.daumkakao.io,datacenter60,d60-s11-cluster,datastore60-s11-pm1,10.42.248.61,10.42.249.61,10.42.248.161,10.42.249.161,10.42.248.191,10.42.249.191,10.42.251.61,
10.141.252.62,d60-s11-pm2,d60-s11-pm2.virt.daumkakao.io,datacenter60,d60-s11-cluster,datastore60-s11-pm2,10.42.248.62,10.42.249.62,10.42.248.161,10.42.249.161,10.42.248.191,10.42.249.191,10.42.251.62,
10.141.252.63,d60-s11-pm3,d60-s11-pm3.virt.daumkakao.io,datacenter60,d60-s11-cluster,datastore60-s11-pm3,10.42.248.63,10.42.249.63,10.42.248.161,10.42.249.161,10.42.248.191,10.42.249.191,10.42.251.63,
10.141.252.64,d60-s11-pm4,d60-s11-pm4.virt.daumkakao.io,datacenter60,d60-s11-cluster,datastore60-s11-pm4,10.42.248.64,10.42.249.64,10.42.248.161,10.42.249.161,10.42.248.191,10.42.249.191,10.42.251.64,
10.141.252.65,d60-s12-pm1,d60-s12-pm1.virt.daumkakao.io,datacenter60,d60-s12-cluster,datastore60-s12-pm1,10.42.248.65,10.42.249.65,10.42.248.162,10.42.249.162,10.42.248.192,10.42.249.192,10.42.251.65,
10.141.252.66,d60-s12-pm2,d60-s12-pm2.virt.daumkakao.io,datacenter60,d60-s12-cluster,datastore60-s12-pm2,10.42.248.66,10.42.249.66,10.42.248.162,10.42.249.162,10.42.248.192,10.42.249.192,10.42.251.66,
10.141.252.67,d60-s12-pm3,d60-s12-pm3.virt.daumkakao.io,datacenter60,d60-s12-cluster,datastore60-s12-pm3,10.42.248.67,10.42.249.67,10.42.248.162,10.42.249.162,10.42.248.192,10.42.249.192,10.42.251.67,
10.141.252.68,d60-s12-pm4,d60-s12-pm4.virt.daumkakao.io,datacenter60,d60-s12-cluster,datastore60-s12-pm4,10.42.248.68,10.42.249.68,10.42.248.162,10.42.249.162,10.42.248.192,10.42.249.192,10.42.251.68,
10.141.252.69,d60-s13-pm1,d60-s13-pm1.virt.daumkakao.io,datacenter60,d60-s13-cluster,datastore60-s13-pm1,10.42.248.69,10.42.249.69,10.42.248.163,10.42.249.163,10.42.248.193,10.42.249.193,10.42.251.69,
10.141.252.70,d60-s13-pm2,d60-s13-pm2.virt.daumkakao.io,datacenter60,d60-s13-cluster,datastore60-s13-pm2,10.42.248.70,10.42.249.70,10.42.248.163,10.42.249.163,10.42.248.193,10.42.249.193,10.42.251.70,
10.141.252.71,d60-s13-pm3,d60-s13-pm3.virt.daumkakao.io,datacenter60,d60-s13-cluster,datastore60-s13-pm3,10.42.248.71,10.42.249.71,10.42.248.163,10.42.249.163,10.42.248.193,10.42.249.193,10.42.251.71,
10.141.252.72,d60-s13-pm4,d60-s13-pm4.virt.daumkakao.io,datacenter60,d60-s13-cluster,datastore60-s13-pm4,10.42.248.72,10.42.249.72,10.42.248.163,10.42.249.163,10.42.248.193,10.42.249.193,10.42.251.72,
10.141.252.73,d60-s14-pm1,d60-s14-pm1.virt.daumkakao.io,datacenter60,d60-s14-cluster,datastore60-s14-pm1,10.42.248.73,10.42.249.73,10.42.248.164,10.42.249.164,10.42.248.194,10.42.249.194,10.42.251.73,
10.141.252.74,d60-s14-pm2,d60-s14-pm2.virt.daumkakao.io,datacenter60,d60-s14-cluster,datastore60-s14-pm2,10.42.248.74,10.42.249.74,10.42.248.164,10.42.249.164,10.42.248.194,10.42.249.194,10.42.251.74,
10.141.252.75,d60-s14-pm3,d60-s14-pm3.virt.daumkakao.io,datacenter60,d60-s14-cluster,datastore60-s14-pm3,10.42.248.75,10.42.249.75,10.42.248.164,10.42.249.164,10.42.248.194,10.42.249.194,10.42.251.75,
10.141.252.76,d60-s14-pm4,d60-s14-pm4.virt.daumkakao.io,datacenter60,d60-s14-cluster,datastore60-s14-pm4,10.42.248.76,10.42.249.76,10.42.248.164,10.42.249.164,10.42.248.194,10.42.249.194,10.42.251.76,
10.141.252.77,d60-s15-pm1,d60-s15-pm1.virt.daumkakao.io,datacenter60,d60-s15-cluster,datastore60-s15-pm1,10.42.248.77,10.42.249.77,10.42.248.165,10.42.249.165,10.42.248.195,10.42.249.195,10.42.251.77,
10.141.252.78,d60-s15-pm2,d60-s15-pm2.virt.daumkakao.io,datacenter60,d60-s15-cluster,datastore60-s15-pm2,10.42.248.78,10.42.249.78,10.42.248.165,10.42.249.165,10.42.248.195,10.42.249.195,10.42.251.78,
10.141.252.79,d60-s15-pm3,d60-s15-pm3.virt.daumkakao.io,datacenter60,d60-s15-cluster,datastore60-s15-pm3,10.42.248.79,10.42.249.79,10.42.248.165,10.42.249.165,10.42.248.195,10.42.249.195,10.42.251.79,
10.141.252.80,d60-s15-pm4,d60-s15-pm4.virt.daumkakao.io,datacenter60,d60-s15-cluster,datastore60-s15-pm4,10.42.248.80,10.42.249.80,10.42.248.165,10.42.249.165,10.42.248.195,10.42.249.195,10.42.251.80,
10.141.252.81,d60-s16-pm1,d60-s16-pm1.virt.daumkakao.io,datacenter60,d60-s16-cluster,datastore60-s16-pm1,10.42.248.81,10.42.249.81,10.42.248.166,10.42.249.166,10.42.248.196,10.42.249.196,10.42.251.81,
10.141.252.82,d60-s16-pm2,d60-s16-pm2.virt.daumkakao.io,datacenter60,d60-s16-cluster,datastore60-s16-pm2,10.42.248.82,10.42.249.82,10.42.248.166,10.42.249.166,10.42.248.196,10.42.249.196,10.42.251.82,
10.141.252.83,d60-s16-pm3,d60-s16-pm3.virt.daumkakao.io,datacenter60,d60-s16-cluster,datastore60-s16-pm3,10.42.248.83,10.42.249.83,10.42.248.166,10.42.249.166,10.42.248.196,10.42.249.196,10.42.251.83,
10.141.252.84,d60-s16-pm4,d60-s16-pm4.virt.daumkakao.io,datacenter60,d60-s16-cluster,datastore60-s16-pm4,10.42.248.84,10.42.249.84,10.42.248.166,10.42.249.166,10.42.248.196,10.42.249.196,10.42.251.84,
10.141.252.85,d60-s17-pm1,d60-s17-pm1.virt.daumkakao.io,datacenter60,d60-s17-cluster,datastore60-s17-pm1,10.42.248.85,10.42.249.85,10.42.248.167,10.42.249.167,10.42.248.197,10.42.249.197,10.42.251.85,
10.141.252.86,d60-s17-pm2,d60-s17-pm2.virt.daumkakao.io,datacenter60,d60-s17-cluster,datastore60-s17-pm2,10.42.248.86,10.42.249.86,10.42.248.167,10.42.249.167,10.42.248.197,10.42.249.197,10.42.251.86,
10.141.252.87,d60-s17-pm3,d60-s17-pm3.virt.daumkakao.io,datacenter60,d60-s17-cluster,datastore60-s17-pm3,10.42.248.87,10.42.249.87,10.42.248.167,10.42.249.167,10.42.248.197,10.42.249.197,10.42.251.87,
10.141.252.88,d60-s17-pm4,d60-s17-pm4.virt.daumkakao.io,datacenter60,d60-s17-cluster,datastore60-s17-pm4,10.42.248.88,10.42.249.88,10.42.248.167,10.42.249.167,10.42.248.197,10.42.249.197,10.42.251.88,
10.141.252.89,d60-s18-pm1,d60-s18-pm1.virt.daumkakao.io,datacenter60,d60-s18-cluster,datastore60-s18-pm1,10.42.248.89,10.42.249.89,10.42.248.168,10.42.249.168,10.42.248.198,10.42.249.198,10.42.251.89,
10.141.252.90,d60-s18-pm2,d60-s18-pm2.virt.daumkakao.io,datacenter60,d60-s18-cluster,datastore60-s18-pm2,10.42.248.90,10.42.249.90,10.42.248.168,10.42.249.168,10.42.248.198,10.42.249.198,10.42.251.90,
10.141.252.91,d60-s18-pm3,d60-s18-pm3.virt.daumkakao.io,datacenter60,d60-s18-cluster,datastore60-s18-pm3,10.42.248.91,10.42.249.91,10.42.248.168,10.42.249.168,10.42.248.198,10.42.249.198,10.42.251.91,
10.141.252.92,d60-s18-pm4,d60-s18-pm4.virt.daumkakao.io,datacenter60,d60-s18-cluster,datastore60-s18-pm4,10.42.248.92,10.42.249.92,10.42.248.168,10.42.249.168,10.42.248.198,10.42.249.198,10.42.251.92,
10.141.252.93,d60-s19-pm1,d60-s19-pm1.virt.daumkakao.io,datacenter60,d60-s19-cluster,datastore60-s19-pm1,10.42.248.93,10.42.249.93,10.42.248.169,10.42.249.169,10.42.248.199,10.42.249.199,10.42.251.93,
10.141.252.94,d60-s19-pm2,d60-s19-pm2.virt.daumkakao.io,datacenter60,d60-s19-cluster,datastore60-s19-pm2,10.42.248.94,10.42.249.94,10.42.248.169,10.42.249.169,10.42.248.199,10.42.249.199,10.42.251.94,
10.141.252.95,d60-s19-pm3,d60-s19-pm3.virt.daumkakao.io,datacenter60,d60-s19-cluster,datastore60-s19-pm3,10.42.248.95,10.42.249.95,10.42.248.169,10.42.249.169,10.42.248.199,10.42.249.199,10.42.251.95,
10.141.252.96,d60-s19-pm4,d60-s19-pm4.virt.daumkakao.io,datacenter60,d60-s19-cluster,datastore60-s19-pm4,10.42.248.96,10.42.249.96,10.42.248.169,10.42.249.169,10.42.248.199,10.42.249.199,10.42.251.96,
10.141.252.97,d60-s20-pm1,d60-s20-pm1.virt.daumkakao.io,datacenter60,d60-s20-cluster,datastore60-s20-pm1,10.42.248.97,10.42.249.97,10.42.248.170,10.42.249.170,10.42.248.200,10.42.249.200,10.42.251.97,
10.141.252.98,d60-s20-pm2,d60-s20-pm2.virt.daumkakao.io,datacenter60,d60-s20-cluster,datastore60-s20-pm2,10.42.248.98,10.42.249.98,10.42.248.170,10.42.249.170,10.42.248.200,10.42.249.200,10.42.251.98,
10.141.252.99,d60-s20-pm3,d60-s20-pm3.virt.daumkakao.io,datacenter60,d60-s20-cluster,datastore60-s20-pm3,10.42.248.99,10.42.249.99,10.42.248.170,10.42.249.170,10.42.248.200,10.42.249.200,10.42.251.99,
10.141.252.100,d60-s20-pm4,d60-s20-pm4.virt.daumkakao.io,datacenter60,d60-s20-cluster,datastore60-s20-pm4,10.42.248.100,10.42.249.100,10.42.248.170,10.42.249.170,10.42.248.200,10.42.249.200,10.42.251.100,
10.141.252.101,d60-s21-pm1,d60-s21-pm1.virt.daumkakao.io,datacenter60,d60-s21-cluster,datastore60-s21-pm1,10.42.248.101,10.42.249.101,10.42.248.171,10.42.249.171,10.42.248.201,10.42.249.201,10.42.251.101,
10.141.252.102,d60-s21-pm2,d60-s21-pm2.virt.daumkakao.io,datacenter60,d60-s21-cluster,datastore60-s21-pm2,10.42.248.102,10.42.249.102,10.42.248.171,10.42.249.171,10.42.248.201,10.42.249.201,10.42.251.102,
10.141.252.103,d60-s21-pm3,d60-s21-pm3.virt.daumkakao.io,datacenter60,d60-s21-cluster,datastore60-s21-pm3,10.42.248.103,10.42.249.103,10.42.248.171,10.42.249.171,10.42.248.201,10.42.249.201,10.42.251.103,
10.141.252.104,d60-s21-pm4,d60-s21-pm4.virt.daumkakao.io,datacenter60,d60-s21-cluster,datastore60-s21-pm4,10.42.248.104,10.42.249.104,10.42.248.171,10.42.249.171,10.42.248.201,10.42.249.201,10.42.251.104,
10.141.252.105,d60-s22-pm1,d60-s22-pm1.virt.daumkakao.io,datacenter60,d60-s22-cluster,datastore60-s22-pm1,10.42.248.105,10.42.249.105,10.42.248.172,10.42.249.172,10.42.248.202,10.42.249.202,10.42.251.105,
10.141.252.106,d60-s22-pm2,d60-s22-pm2.virt.daumkakao.io,datacenter60,d60-s22-cluster,datastore60-s22-pm2,10.42.248.106,10.42.249.106,10.42.248.172,10.42.249.172,10.42.248.202,10.42.249.202,10.42.251.106,
10.141.252.107,d60-s22-pm3,d60-s22-pm3.virt.daumkakao.io,datacenter60,d60-s22-cluster,datastore60-s22-pm3,10.42.248.107,10.42.249.107,10.42.248.172,10.42.249.172,10.42.248.202,10.42.249.202,10.42.251.107,
10.141.252.108,d60-s22-pm4,d60-s22-pm4.virt.daumkakao.io,datacenter60,d60-s22-cluster,datastore60-s22-pm4,10.42.248.108,10.42.249.108,10.42.248.172,10.42.249.172,10.42.248.202,10.42.249.202,10.42.251.108,
10.141.252.109,d60-s23-pm1,d60-s23-pm1.virt.daumkakao.io,datacenter60,d60-s23-cluster,datastore60-s23-pm1,10.42.248.109,10.42.249.109,10.42.248.173,10.42.249.173,10.42.248.203,10.42.249.203,10.42.251.109,
10.141.252.110,d60-s23-pm2,d60-s23-pm2.virt.daumkakao.io,datacenter60,d60-s23-cluster,datastore60-s23-pm2,10.42.248.110,10.42.249.110,10.42.248.173,10.42.249.173,10.42.248.203,10.42.249.203,10.42.251.110,
10.141.252.111,d60-s23-pm3,d60-s23-pm3.virt.daumkakao.io,datacenter60,d60-s23-cluster,datastore60-s23-pm3,10.42.248.111,10.42.249.111,10.42.248.173,10.42.249.173,10.42.248.203,10.42.249.203,10.42.251.111,
10.141.252.112,d60-s23-pm4,d60-s23-pm4.virt.daumkakao.io,datacenter60,d60-s23-cluster,datastore60-s23-pm4,10.42.248.112,10.42.249.112,10.42.248.173,10.42.249.173,10.42.248.203,10.42.249.203,10.42.251.112,
10.141.252.113,d60-s24-pm1,d60-s24-pm1.virt.daumkakao.io,datacenter60,d60-s24-cluster,datastore60-s24-pm1,10.42.248.113,10.42.249.113,10.42.248.174,10.42.249.174,10.42.248.204,10.42.249.204,10.42.251.113,
10.141.252.114,d60-s24-pm2,d60-s24-pm2.virt.daumkakao.io,datacenter60,d60-s24-cluster,datastore60-s24-pm2,10.42.248.114,10.42.249.114,10.42.248.174,10.42.249.174,10.42.248.204,10.42.249.204,10.42.251.114,
10.141.252.115,d60-s24-pm3,d60-s24-pm3.virt.daumkakao.io,datacenter60,d60-s24-cluster,datastore60-s24-pm3,10.42.248.115,10.42.249.115,10.42.248.174,10.42.249.174,10.42.248.204,10.42.249.204,10.42.251.115,
10.141.252.116,d60-s24-pm4,d60-s24-pm4.virt.daumkakao.io,datacenter60,d60-s24-cluster,datastore60-s24-pm4,10.42.248.116,10.42.249.116,10.42.248.174,10.42.249.174,10.42.248.204,10.42.249.204,10.42.251.116,
10.141.252.117,d60-s25-pm1,d60-s25-pm1.virt.daumkakao.io,datacenter60,d60-s25-cluster,datastore60-s25-pm1,10.42.248.117,10.42.249.117,10.42.248.175,10.42.249.175,10.42.248.205,10.42.249.205,10.42.251.117,
10.141.252.118,d60-s25-pm2,d60-s25-pm2.virt.daumkakao.io,datacenter60,d60-s25-cluster,datastore60-s25-pm2,10.42.248.118,10.42.249.118,10.42.248.175,10.42.249.175,10.42.248.205,10.42.249.205,10.42.251.118,
10.141.252.119,d60-s25-pm3,d60-s25-pm3.virt.daumkakao.io,datacenter60,d60-s25-cluster,datastore60-s25-pm3,10.42.248.119,10.42.249.119,10.42.248.175,10.42.249.175,10.42.248.205,10.42.249.205,10.42.251.119,
10.141.252.120,d60-s25-pm4,d60-s25-pm4.virt.daumkakao.io,datacenter60,d60-s25-cluster,datastore60-s25-pm4,10.42.248.120,10.42.249.120,10.42.248.175,10.42.249.175,10.42.248.205,10.42.249.205,10.42.251.120,
