ip,hname,alias,location,cluster,datastore,iscsi1,iscsi2,tgt1,tgt2,tgt3,tgt4,vmotion,clstlist
10.141.252.21,d60-s1-pm1,d60-s1-pm1.virt.daumkakao.io,datacenter60,d60-s01-cluster,datastore60-s1-pm1,10.42.248.21,10.42.249.21,10.42.248.151,10.42.249.151,10.42.248.181,10.42.249.181,10.42.251.21,d60-s01-cluster
10.141.252.22,d60-s1-pm2,d60-s1-pm2.virt.daumkakao.io,datacenter60,d60-s01-cluster,datastore60-s1-pm2,10.42.248.22,10.42.249.22,10.42.248.151,10.42.249.151,10.42.248.181,10.42.249.181,10.42.251.22,d60-s02-cluster
10.141.252.23,d60-s1-pm3,d60-s1-pm3.virt.daumkakao.io,datacenter60,d60-s01-cluster,datastore60-s1-pm3,10.42.248.23,10.42.249.23,10.42.248.151,10.42.249.151,10.42.248.181,10.42.249.181,10.42.251.23,d60-s03-cluster
10.141.252.24,d60-s1-pm4,d60-s1-pm4.virt.daumkakao.io,datacenter60,d60-s01-cluster,datastore60-s1-pm4,10.42.248.24,10.42.249.24,10.42.248.151,10.42.249.151,10.42.248.181,10.42.249.181,10.42.251.24,d60-s04-cluster
10.141.252.25,d60-s2-pm1,d60-s2-pm1.virt.daumkakao.io,datacenter60,d60-s02-cluster,datastore60-s2-pm1,10.42.248.25,10.42.249.25,10.42.248.152,10.42.249.152,10.42.248.182,10.42.249.182,10.42.251.25,d60-s05-cluster
10.141.252.26,d60-s2-pm2,d60-s2-pm2.virt.daumkakao.io,datacenter60,d60-s02-cluster,datastore60-s2-pm2,10.42.248.26,10.42.249.26,10.42.248.152,10.42.249.152,10.42.248.182,10.42.249.182,10.42.251.26,d60-s06-cluster
10.141.252.27,d60-s2-pm3,d60-s2-pm3.virt.daumkakao.io,datacenter60,d60-s02-cluster,datastore60-s2-pm3,10.42.248.27,10.42.249.27,10.42.248.152,10.42.249.152,10.42.248.182,10.42.249.182,10.42.251.27,d60-s07-cluster
10.141.252.28,d60-s2-pm4,d60-s2-pm4.virt.daumkakao.io,datacenter60,d60-s02-cluster,datastore60-s2-pm4,10.42.248.28,10.42.249.28,10.42.248.152,10.42.249.152,10.42.248.182,10.42.249.182,10.42.251.28,d60-s08-cluster
10.141.252.29,d60-s3-pm1,d60-s3-pm1.virt.daumkakao.io,datacenter60,d60-s03-cluster,datastore60-s3-pm1,10.42.248.29,10.42.249.29,10.42.248.153,10.42.249.153,10.42.248.183,10.42.249.183,10.42.251.29,d60-s09-cluster
10.141.252.30,d60-s3-pm2,d60-s3-pm2.virt.daumkakao.io,datacenter60,d60-s03-cluster,datastore60-s3-pm2,10.42.248.30,10.42.249.30,10.42.248.153,10.42.249.153,10.42.248.183,10.42.249.183,10.42.251.30,d60-s10-cluster
10.141.252.31,d60-s3-pm3,d60-s3-pm3.virt.daumkakao.io,datacenter60,d60-s03-cluster,datastore60-s3-pm3,10.42.248.31,10.42.249.31,10.42.248.153,10.42.249.153,10.42.248.183,10.42.249.183,10.42.251.31,d60-s11-cluster
10.141.252.32,d60-s3-pm4,d60-s3-pm4.virt.daumkakao.io,datacenter60,d60-s03-cluster,datastore60-s3-pm4,10.42.248.32,10.42.249.32,10.42.248.153,10.42.249.153,10.42.248.183,10.42.249.183,10.42.251.32,d60-s12-cluster
10.141.252.33,d60-s4-pm1,d60-s4-pm1.virt.daumkakao.io,datacenter60,d60-s04-cluster,datastore60-s4-pm1,10.42.248.33,10.42.249.33,10.42.248.154,10.42.249.154,10.42.248.184,10.42.249.184,10.42.251.33,d60-s13-cluster
