datacenter,cluster
datacenter60,d60-s01-cluster
datacenter60,d60-s02-cluster
datacenter60,d60-s03-cluster
datacenter60,d60-s04-cluster
datacenter60,d60-s05-cluster
datacenter60,d60-s06-cluster
datacenter60,d60-s07-cluster
datacenter60,d60-s08-cluster
datacenter60,d60-s09-cluster
datacenter60,d60-s10-cluster
datacenter60,d60-s11-cluster
datacenter60,d60-s12-cluster
datacenter60,d60-s13-cluster
datacenter60,d60-s14-cluster
datacenter60,d60-s15-cluster
datacenter60,d60-s16-cluster
datacenter60,d60-s17-cluster
datacenter60,d60-s18-cluster
datacenter60,d60-s19-cluster
datacenter60,d60-s20-cluster
datacenter60,d60-s21-cluster
datacenter60,d60-s22-cluster
datacenter60,d60-s23-cluster
datacenter60,d60-s24-cluster
datacenter60,d60-s25-cluster
datacenter60,d60-github-cluster
