name,host,datastore,ip,gateway,datastore1
d50-s6p1-vm1,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.11,10.28.167.1,data6
d50-s6p1-vm2,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.12,10.28.167.1,data6
d50-s6p1-vm3,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.13,10.28.167.1,data6
d50-s6p1-vm4,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.14,10.28.167.1,data6
d50-s6p1-vm5,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.15,10.28.167.1,data6
d50-s6p1-vm6,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.16,10.28.167.1,data6
d50-s6p1-vm7,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.17,10.28.167.1,data6
d50-s6p1-vm8,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.18,10.28.167.1,data6
d50-s6p1-vm9,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.19,10.28.167.1,data6
d50-s6p1-vm10,d50-s6-pm1.virt.daumcorp.com,d50-s6-lun1,10.28.167.20,10.28.167.1,data6
d50-s6p2-vm1,d50-s6-pm2.virt.daumcorp.com,d50-s6-lun2,10.28.167.31,10.28.167.1,data6
d50-s6p2-vm2,d50-s6-pm2.virt.daumcorp.com,d50-s6-lun2,10.28.167.32,10.28.167.1,data6
d50-s6p2-vm3,d50-s6-pm2.virt.daumcorp.com,d50-s6-lun2,10.28.167.33,10.28.167.1,data6
d50-s6p2-vm4,d50-s6-pm2.virt.daumcorp.com,d50-s6-lun2,10.28.167.34,10.28.167.1,data6
d50-s6p2-vm5,d50-s6-pm2.virt.daumcorp.com,d50-s6-lun2,10.28.167.35,10.28.167.1,data6
