name,host,datastore,ip,gateway,datastore1
d50-s12p1-vm1,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.11,10.28.173.1,data12
d50-s12p1-vm2,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.12,10.28.173.1,data12
d50-s12p1-vm3,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.13,10.28.173.1,data12
d50-s12p1-vm4,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.14,10.28.173.1,data12
d50-s12p1-vm5,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.15,10.28.173.1,data12
d50-s12p1-vm6,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.16,10.28.173.1,data12
d50-s12p1-vm7,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.17,10.28.173.1,data12
d50-s12p1-vm8,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.18,10.28.173.1,data12
d50-s12p1-vm9,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.19,10.28.173.1,data12
d50-s12p1-vm10,d50-s12-pm1.virt.daumcorp.com,d50-s12-lun1,10.28.173.20,10.28.173.1,data12
d50-s12p2-vm1,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.31,10.28.173.1,data12
d50-s12p2-vm2,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.32,10.28.173.1,data12
d50-s12p2-vm3,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.33,10.28.173.1,data12
d50-s12p2-vm4,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.34,10.28.173.1,data12
d50-s12p2-vm5,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.35,10.28.173.1,data12
d50-s12p2-vm6,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.36,10.28.173.1,data12
d50-s12p2-vm7,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.37,10.28.173.1,data12
d50-s12p2-vm8,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.38,10.28.173.1,data12
d50-s12p2-vm9,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.39,10.28.173.1,data12
d50-s12p2-vm10,d50-s12-pm2.virt.daumcorp.com,d50-s12-lun2,10.28.173.40,10.28.173.1,data12
d50-s12p3-vm1,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.51,10.28.173.1,data12
d50-s12p3-vm2,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.52,10.28.173.1,data12
d50-s12p3-vm3,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.53,10.28.173.1,data12
d50-s12p3-vm4,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.54,10.28.173.1,data12
d50-s12p3-vm5,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.55,10.28.173.1,data12
d50-s12p3-vm6,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.56,10.28.173.1,data12
d50-s12p3-vm7,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.57,10.28.173.1,data12
d50-s12p3-vm8,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.58,10.28.173.1,data12
d50-s12p3-vm9,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.59,10.28.173.1,data12
d50-s12p3-vm10,d50-s12-pm3.virt.daumcorp.com,d50-s12-lun3,10.28.173.60,10.28.173.1,data12
d50-s12p4-vm1,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.71,10.28.173.1,data12
d50-s12p4-vm2,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.72,10.28.173.1,data12
d50-s12p4-vm3,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.73,10.28.173.1,data12
d50-s12p4-vm4,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.74,10.28.173.1,data12
d50-s12p4-vm5,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.75,10.28.173.1,data12
d50-s12p4-vm6,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.76,10.28.173.1,data12
d50-s12p4-vm7,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.77,10.28.173.1,data12
d50-s12p4-vm8,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.78,10.28.173.1,data12
d50-s12p4-vm9,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.79,10.28.173.1,data12
d50-s12p4-vm10,d50-s12-pm4.virt.daumcorp.com,d50-s12-lun4,10.28.173.80,10.28.173.1,data12
d50-s12p5-vm1,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.91,10.28.173.1,data12
d50-s12p5-vm2,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.92,10.28.173.1,data12
d50-s12p5-vm3,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.93,10.28.173.1,data12
d50-s12p5-vm4,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.94,10.28.173.1,data12
d50-s12p5-vm5,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.95,10.28.173.1,data12
d50-s12p5-vm6,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.96,10.28.173.1,data12
d50-s12p5-vm7,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.97,10.28.173.1,data12
d50-s12p5-vm8,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.98,10.28.173.1,data12
d50-s12p5-vm9,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.99,10.28.173.1,data12
d50-s12p5-vm10,d50-s12-pm5.virt.daumcorp.com,d50-s12-lun5,10.28.173.100,10.28.173.1,data12
d50-s12p6-vm1,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.111,10.28.173.1,data12
d50-s12p6-vm2,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.112,10.28.173.1,data12
d50-s12p6-vm3,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.113,10.28.173.1,data12
d50-s12p6-vm4,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.114,10.28.173.1,data12
d50-s12p6-vm5,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.115,10.28.173.1,data12
d50-s12p6-vm6,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.116,10.28.173.1,data12
d50-s12p6-vm7,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.117,10.28.173.1,data12
d50-s12p6-vm8,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.118,10.28.173.1,data12
d50-s12p6-vm9,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.119,10.28.173.1,data12
d50-s12p6-vm10,d50-s12-pm6.virt.daumcorp.com,d50-s12-lun6,10.28.173.120,10.28.173.1,data12
d50-s12p7-vm1,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.131,10.28.173.1,data12
d50-s12p7-vm2,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.132,10.28.173.1,data12
d50-s12p7-vm3,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.133,10.28.173.1,data12
d50-s12p7-vm4,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.134,10.28.173.1,data12
d50-s12p7-vm5,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.135,10.28.173.1,data12
d50-s12p7-vm6,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.136,10.28.173.1,data12
d50-s12p7-vm7,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.137,10.28.173.1,data12
d50-s12p7-vm8,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.138,10.28.173.1,data12
d50-s12p7-vm9,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.139,10.28.173.1,data12
d50-s12p7-vm10,d50-s12-pm7.virt.daumcorp.com,d50-s12-lun7,10.28.173.140,10.28.173.1,data12
d50-s12p8-vm1,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.151,10.28.173.1,data12
d50-s12p8-vm2,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.152,10.28.173.1,data12
d50-s12p8-vm3,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.153,10.28.173.1,data12
d50-s12p8-vm4,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.154,10.28.173.1,data12
d50-s12p8-vm5,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.155,10.28.173.1,data12
d50-s12p8-vm6,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.156,10.28.173.1,data12
d50-s12p8-vm7,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.157,10.28.173.1,data12
d50-s12p8-vm8,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.158,10.28.173.1,data12
d50-s12p8-vm9,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.159,10.28.173.1,data12
d50-s12p8-vm10,d50-s12-pm8.virt.daumcorp.com,d50-s12-lun8,10.28.173.160,10.28.173.1,data12
