name,host,datastore,ip,gateway,datastore1
d50-s2p1-vm1,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.11,10.28.163.1,data2
d50-s2p1-vm2,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.12,10.28.163.1,data2
d50-s2p1-vm3,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.13,10.28.163.1,data2
d50-s2p1-vm4,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.14,10.28.163.1,data2
d50-s2p1-vm5,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.15,10.28.163.1,data2
d50-s2p1-vm6,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.16,10.28.163.1,data2
d50-s2p1-vm7,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.17,10.28.163.1,data2
d50-s2p1-vm8,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.18,10.28.163.1,data2
d50-s2p1-vm9,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.19,10.28.163.1,data2
d50-s2p1-vm10,d50-s2-pm1.virt.daumcorp.com,d50-s2-lun1,10.28.163.20,10.28.163.1,data2
d50-s2p2-vm1,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.31,10.28.163.1,data2
d50-s2p2-vm2,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.32,10.28.163.1,data2
d50-s2p2-vm3,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.33,10.28.163.1,data2
d50-s2p2-vm4,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.34,10.28.163.1,data2
d50-s2p2-vm5,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.35,10.28.163.1,data2
d50-s2p2-vm6,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.36,10.28.163.1,data2
d50-s2p2-vm7,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.37,10.28.163.1,data2
d50-s2p2-vm8,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.38,10.28.163.1,data2
d50-s2p2-vm9,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.39,10.28.163.1,data2
d50-s2p2-vm10,d50-s2-pm2.virt.daumcorp.com,d50-s2-lun2,10.28.163.40,10.28.163.1,data2
d50-s2p3-vm1,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.51,10.28.163.1,data2
d50-s2p3-vm2,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.52,10.28.163.1,data2
d50-s2p3-vm3,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.53,10.28.163.1,data2
d50-s2p3-vm4,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.54,10.28.163.1,data2
d50-s2p3-vm5,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.55,10.28.163.1,data2
d50-s2p3-vm6,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.56,10.28.163.1,data2
d50-s2p3-vm7,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.57,10.28.163.1,data2
d50-s2p3-vm8,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.58,10.28.163.1,data2
d50-s2p3-vm9,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.59,10.28.163.1,data2
d50-s2p3-vm10,d50-s2-pm3.virt.daumcorp.com,d50-s2-lun3,10.28.163.60,10.28.163.1,data2
d50-s2p4-vm1,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.71,10.28.163.1,data2
d50-s2p4-vm2,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.72,10.28.163.1,data2
d50-s2p4-vm3,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.73,10.28.163.1,data2
d50-s2p4-vm4,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.74,10.28.163.1,data2
d50-s2p4-vm5,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.75,10.28.163.1,data2
d50-s2p4-vm6,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.76,10.28.163.1,data2
d50-s2p4-vm7,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.77,10.28.163.1,data2
d50-s2p4-vm8,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.78,10.28.163.1,data2
d50-s2p4-vm9,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.79,10.28.163.1,data2
d50-s2p4-vm10,d50-s2-pm4.virt.daumcorp.com,d50-s2-lun4,10.28.163.80,10.28.163.1,data2
d50-s2p5-vm1,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.91,10.28.163.1,data2
d50-s2p5-vm2,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.92,10.28.163.1,data2
d50-s2p5-vm3,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.93,10.28.163.1,data2
d50-s2p5-vm4,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.94,10.28.163.1,data2
d50-s2p5-vm5,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.95,10.28.163.1,data2
d50-s2p5-vm6,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.96,10.28.163.1,data2
d50-s2p5-vm7,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.97,10.28.163.1,data2
d50-s2p5-vm8,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.98,10.28.163.1,data2
d50-s2p5-vm9,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.99,10.28.163.1,data2
d50-s2p5-vm10,d50-s2-pm5.virt.daumcorp.com,d50-s2-lun5,10.28.163.100,10.28.163.1,data2
d50-s2p6-vm1,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.111,10.28.163.1,data2
d50-s2p6-vm2,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.112,10.28.163.1,data2
d50-s2p6-vm3,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.113,10.28.163.1,data2
d50-s2p6-vm4,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.114,10.28.163.1,data2
d50-s2p6-vm5,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.115,10.28.163.1,data2
d50-s2p6-vm6,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.116,10.28.163.1,data2
d50-s2p6-vm7,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.117,10.28.163.1,data2
d50-s2p6-vm8,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.118,10.28.163.1,data2
d50-s2p6-vm9,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.119,10.28.163.1,data2
d50-s2p6-vm10,d50-s2-pm6.virt.daumcorp.com,d50-s2-lun6,10.28.163.120,10.28.163.1,data2
d50-s2p7-vm1,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.131,10.28.163.1,data2
d50-s2p7-vm2,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.132,10.28.163.1,data2
d50-s2p7-vm3,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.133,10.28.163.1,data2
d50-s2p7-vm4,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.134,10.28.163.1,data2
d50-s2p7-vm5,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.135,10.28.163.1,data2
d50-s2p7-vm6,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.136,10.28.163.1,data2
d50-s2p7-vm7,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.137,10.28.163.1,data2
d50-s2p7-vm8,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.138,10.28.163.1,data2
d50-s2p7-vm9,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.139,10.28.163.1,data2
d50-s2p7-vm10,d50-s2-pm7.virt.daumcorp.com,d50-s2-lun7,10.28.163.140,10.28.163.1,data2
d50-s2p8-vm1,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.151,10.28.163.1,data2
d50-s2p8-vm2,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.152,10.28.163.1,data2
d50-s2p8-vm3,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.153,10.28.163.1,data2
d50-s2p8-vm4,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.154,10.28.163.1,data2
d50-s2p8-vm5,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.155,10.28.163.1,data2
d50-s2p8-vm6,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.156,10.28.163.1,data2
d50-s2p8-vm7,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.157,10.28.163.1,data2
d50-s2p8-vm8,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.158,10.28.163.1,data2
d50-s2p8-vm9,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.159,10.28.163.1,data2
d50-s2p8-vm10,d50-s2-pm8.virt.daumcorp.com,d50-s2-lun8,10.28.163.160,10.28.163.1,data2
