name,host,datastore,ip,gateway,datastore1
d50-s4p1-vm1,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.11,10.28.165.1,data4
d50-s4p1-vm2,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.12,10.28.165.1,data4
d50-s4p1-vm3,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.13,10.28.165.1,data4
d50-s4p1-vm4,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.14,10.28.165.1,data4
d50-s4p1-vm5,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.15,10.28.165.1,data4
d50-s4p1-vm6,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.16,10.28.165.1,data4
d50-s4p1-vm7,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.17,10.28.165.1,data4
d50-s4p1-vm8,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.18,10.28.165.1,data4
d50-s4p1-vm9,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.19,10.28.165.1,data4
d50-s4p1-vm10,d50-s4-pm1.virt.daumcorp.com,d50-s4-lun1,10.28.165.20,10.28.165.1,data4
d50-s4p2-vm1,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.31,10.28.165.1,data4
d50-s4p2-vm2,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.32,10.28.165.1,data4
d50-s4p2-vm3,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.33,10.28.165.1,data4
d50-s4p2-vm4,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.34,10.28.165.1,data4
d50-s4p2-vm5,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.35,10.28.165.1,data4
d50-s4p2-vm6,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.36,10.28.165.1,data4
d50-s4p2-vm7,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.37,10.28.165.1,data4
d50-s4p2-vm8,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.38,10.28.165.1,data4
d50-s4p2-vm9,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.39,10.28.165.1,data4
d50-s4p2-vm10,d50-s4-pm2.virt.daumcorp.com,d50-s4-lun2,10.28.165.40,10.28.165.1,data4
d50-s4p3-vm1,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.51,10.28.165.1,data4
d50-s4p3-vm2,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.52,10.28.165.1,data4
d50-s4p3-vm3,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.53,10.28.165.1,data4
d50-s4p3-vm4,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.54,10.28.165.1,data4
d50-s4p3-vm5,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.55,10.28.165.1,data4
d50-s4p3-vm6,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.56,10.28.165.1,data4
d50-s4p3-vm7,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.57,10.28.165.1,data4
d50-s4p3-vm8,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.58,10.28.165.1,data4
d50-s4p3-vm9,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.59,10.28.165.1,data4
d50-s4p3-vm10,d50-s4-pm3.virt.daumcorp.com,d50-s4-lun3,10.28.165.60,10.28.165.1,data4
d50-s4p4-vm1,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.71,10.28.165.1,data4
d50-s4p4-vm2,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.72,10.28.165.1,data4
d50-s4p4-vm3,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.73,10.28.165.1,data4
d50-s4p4-vm4,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.74,10.28.165.1,data4
d50-s4p4-vm5,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.75,10.28.165.1,data4
d50-s4p4-vm6,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.76,10.28.165.1,data4
d50-s4p4-vm7,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.77,10.28.165.1,data4
d50-s4p4-vm8,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.78,10.28.165.1,data4
d50-s4p4-vm9,d50-s4-pm4.virt.daumcorp.com,d50-s4-lun4,10.28.165.79,10.28.165.1,data4
