name,host,datastore,ip,gateway,datastore1
d50-s7p1-vm1,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.11,10.28.168.1,data7
d50-s7p1-vm2,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.12,10.28.168.1,data7
d50-s7p1-vm3,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.13,10.28.168.1,data7
d50-s7p1-vm4,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.14,10.28.168.1,data7
d50-s7p1-vm5,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.15,10.28.168.1,data7
d50-s7p1-vm6,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.16,10.28.168.1,data7
d50-s7p1-vm7,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.17,10.28.168.1,data7
d50-s7p1-vm8,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.18,10.28.168.1,data7
d50-s7p1-vm9,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.19,10.28.168.1,data7
d50-s7p1-vm10,d50-s7-pm1.virt.daumcorp.com,d50-s7-lun1,10.28.168.20,10.28.168.1,data7
d50-s7p2-vm1,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.31,10.28.168.1,data7
d50-s7p2-vm2,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.32,10.28.168.1,data7
d50-s7p2-vm3,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.33,10.28.168.1,data7
d50-s7p2-vm4,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.34,10.28.168.1,data7
d50-s7p2-vm5,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.35,10.28.168.1,data7
d50-s7p2-vm6,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.36,10.28.168.1,data7
d50-s7p2-vm7,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.37,10.28.168.1,data7
d50-s7p2-vm8,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.38,10.28.168.1,data7
d50-s7p2-vm9,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.39,10.28.168.1,data7
d50-s7p2-vm10,d50-s7-pm2.virt.daumcorp.com,d50-s7-lun2,10.28.168.40,10.28.168.1,data7
d50-s7p3-vm1,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.51,10.28.168.1,data7
d50-s7p3-vm2,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.52,10.28.168.1,data7
d50-s7p3-vm3,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.53,10.28.168.1,data7
d50-s7p3-vm4,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.54,10.28.168.1,data7
d50-s7p3-vm5,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.55,10.28.168.1,data7
d50-s7p3-vm6,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.56,10.28.168.1,data7
d50-s7p3-vm7,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.57,10.28.168.1,data7
d50-s7p3-vm8,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.58,10.28.168.1,data7
d50-s7p3-vm9,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.59,10.28.168.1,data7
d50-s7p3-vm10,d50-s7-pm3.virt.daumcorp.com,d50-s7-lun3,10.28.168.60,10.28.168.1,data7
d50-s7p4-vm1,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.71,10.28.168.1,data7
d50-s7p4-vm2,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.72,10.28.168.1,data7
d50-s7p4-vm3,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.73,10.28.168.1,data7
d50-s7p4-vm4,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.74,10.28.168.1,data7
d50-s7p4-vm5,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.75,10.28.168.1,data7
d50-s7p4-vm6,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.76,10.28.168.1,data7
d50-s7p4-vm7,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.77,10.28.168.1,data7
d50-s7p4-vm8,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.78,10.28.168.1,data7
d50-s7p4-vm9,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.79,10.28.168.1,data7
d50-s7p4-vm10,d50-s7-pm4.virt.daumcorp.com,d50-s7-lun4,10.28.168.80,10.28.168.1,data7
d50-s7p5-vm1,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.91,10.28.168.1,data7
d50-s7p5-vm2,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.92,10.28.168.1,data7
d50-s7p5-vm3,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.93,10.28.168.1,data7
d50-s7p5-vm4,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.94,10.28.168.1,data7
d50-s7p5-vm5,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.95,10.28.168.1,data7
d50-s7p5-vm6,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.96,10.28.168.1,data7
d50-s7p5-vm7,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.97,10.28.168.1,data7
d50-s7p5-vm8,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.98,10.28.168.1,data7
d50-s7p5-vm9,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.99,10.28.168.1,data7
d50-s7p5-vm10,d50-s7-pm5.virt.daumcorp.com,d50-s7-lun5,10.28.168.100,10.28.168.1,data7
d50-s7p6-vm1,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.111,10.28.168.1,data7
d50-s7p6-vm2,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.112,10.28.168.1,data7
d50-s7p6-vm3,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.113,10.28.168.1,data7
d50-s7p6-vm4,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.114,10.28.168.1,data7
d50-s7p6-vm5,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.115,10.28.168.1,data7
d50-s7p6-vm6,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.116,10.28.168.1,data7
d50-s7p6-vm7,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.117,10.28.168.1,data7
d50-s7p6-vm8,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.118,10.28.168.1,data7
d50-s7p6-vm9,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.119,10.28.168.1,data7
d50-s7p6-vm10,d50-s7-pm6.virt.daumcorp.com,d50-s7-lun6,10.28.168.120,10.28.168.1,data7
d50-s7p7-vm1,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.131,10.28.168.1,data7
d50-s7p7-vm2,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.132,10.28.168.1,data7
d50-s7p7-vm3,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.133,10.28.168.1,data7
d50-s7p7-vm4,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.134,10.28.168.1,data7
d50-s7p7-vm5,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.135,10.28.168.1,data7
d50-s7p7-vm6,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.136,10.28.168.1,data7
d50-s7p7-vm7,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.137,10.28.168.1,data7
d50-s7p7-vm8,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.138,10.28.168.1,data7
d50-s7p7-vm9,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.139,10.28.168.1,data7
d50-s7p7-vm10,d50-s7-pm7.virt.daumcorp.com,d50-s7-lun7,10.28.168.140,10.28.168.1,data7
d50-s7p8-vm1,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.151,10.28.168.1,data7
d50-s7p8-vm2,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.152,10.28.168.1,data7
d50-s7p8-vm3,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.153,10.28.168.1,data7
d50-s7p8-vm4,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.154,10.28.168.1,data7
d50-s7p8-vm5,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.155,10.28.168.1,data7
d50-s7p8-vm6,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.156,10.28.168.1,data7
d50-s7p8-vm7,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.157,10.28.168.1,data7
d50-s7p8-vm8,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.158,10.28.168.1,data7
d50-s7p8-vm9,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.159,10.28.168.1,data7
d50-s7p8-vm10,d50-s7-pm8.virt.daumcorp.com,d50-s7-lun8,10.28.168.160,10.28.168.1,data7
