name,host,datastore,ip,gateway,datastore1
d50-s5p1-vm1,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.11,10.28.166.1,data5
d50-s5p1-vm2,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.12,10.28.166.1,data5
d50-s5p1-vm3,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.13,10.28.166.1,data5
d50-s5p1-vm4,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.14,10.28.166.1,data5
d50-s5p1-vm5,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.15,10.28.166.1,data5
d50-s5p1-vm6,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.16,10.28.166.1,data5
d50-s5p1-vm7,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.17,10.28.166.1,data5
d50-s5p1-vm8,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.18,10.28.166.1,data5
d50-s5p1-vm9,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.19,10.28.166.1,data5
d50-s5p1-vm10,d50-s5-pm1.virt.daumcorp.com,d50-s5-lun1,10.28.166.20,10.28.166.1,data5
d50-s5p2-vm1,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.31,10.28.166.1,data5
d50-s5p2-vm2,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.32,10.28.166.1,data5
d50-s5p2-vm3,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.33,10.28.166.1,data5
d50-s5p2-vm4,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.34,10.28.166.1,data5
d50-s5p2-vm5,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.35,10.28.166.1,data5
d50-s5p2-vm6,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.36,10.28.166.1,data5
d50-s5p2-vm7,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.37,10.28.166.1,data5
d50-s5p2-vm8,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.38,10.28.166.1,data5
d50-s5p2-vm9,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.39,10.28.166.1,data5
d50-s5p2-vm10,d50-s5-pm2.virt.daumcorp.com,d50-s5-lun2,10.28.166.40,10.28.166.1,data5
d50-s5p3-vm1,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.51,10.28.166.1,data5
d50-s5p3-vm2,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.52,10.28.166.1,data5
d50-s5p3-vm3,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.53,10.28.166.1,data5
d50-s5p3-vm4,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.54,10.28.166.1,data5
d50-s5p3-vm5,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.55,10.28.166.1,data5
d50-s5p3-vm6,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.56,10.28.166.1,data5
d50-s5p3-vm7,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.57,10.28.166.1,data5
d50-s5p3-vm8,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.58,10.28.166.1,data5
d50-s5p3-vm9,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.59,10.28.166.1,data5
d50-s5p3-vm10,d50-s5-pm3.virt.daumcorp.com,d50-s5-lun3,10.28.166.60,10.28.166.1,data5
d50-s5p4-vm1,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.71,10.28.166.1,data5
d50-s5p4-vm2,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.72,10.28.166.1,data5
d50-s5p4-vm3,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.73,10.28.166.1,data5
d50-s5p4-vm4,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.74,10.28.166.1,data5
d50-s5p4-vm5,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.75,10.28.166.1,data5
d50-s5p4-vm6,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.76,10.28.166.1,data5
d50-s5p4-vm7,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.77,10.28.166.1,data5
d50-s5p4-vm8,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.78,10.28.166.1,data5
d50-s5p4-vm9,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.79,10.28.166.1,data5
d50-s5p4-vm10,d50-s5-pm4.virt.daumcorp.com,d50-s5-lun4,10.28.166.80,10.28.166.1,data5
d50-s5p5-vm1,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.91,10.28.166.1,data5
d50-s5p5-vm2,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.92,10.28.166.1,data5
d50-s5p5-vm3,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.93,10.28.166.1,data5
d50-s5p5-vm4,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.94,10.28.166.1,data5
d50-s5p5-vm5,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.95,10.28.166.1,data5
d50-s5p5-vm6,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.96,10.28.166.1,data5
d50-s5p5-vm7,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.97,10.28.166.1,data5
d50-s5p5-vm8,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.98,10.28.166.1,data5
d50-s5p5-vm9,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.99,10.28.166.1,data5
d50-s5p5-vm10,d50-s5-pm5.virt.daumcorp.com,d50-s5-lun5,10.28.166.100,10.28.166.1,data5
d50-s5p6-vm1,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.111,10.28.166.1,data5
d50-s5p6-vm2,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.112,10.28.166.1,data5
d50-s5p6-vm3,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.113,10.28.166.1,data5
d50-s5p6-vm4,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.114,10.28.166.1,data5
d50-s5p6-vm5,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.115,10.28.166.1,data5
d50-s5p6-vm6,d50-s5-pm6.virt.daumcorp.com,d50-s5-lun6,10.28.166.116,10.28.166.1,data5
