name,host,datastore,ip,gateway,datastore1
d50-s11p1-vm1,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.11,10.28.172.1,data11
d50-s11p1-vm2,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.12,10.28.172.1,data11
d50-s11p1-vm3,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.13,10.28.172.1,data11
d50-s11p1-vm4,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.14,10.28.172.1,data11
d50-s11p1-vm5,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.15,10.28.172.1,data11
d50-s11p1-vm6,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.16,10.28.172.1,data11
d50-s11p1-vm7,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.17,10.28.172.1,data11
d50-s11p1-vm8,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.18,10.28.172.1,data11
d50-s11p1-vm9,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.19,10.28.172.1,data11
d50-s11p1-vm10,d50-s11-pm1.virt.daumcorp.com,d50-s11-lun1,10.28.172.20,10.28.172.1,data11
d50-s11p2-vm1,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.31,10.28.172.1,data11
d50-s11p2-vm2,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.32,10.28.172.1,data11
d50-s11p2-vm3,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.33,10.28.172.1,data11
d50-s11p2-vm4,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.34,10.28.172.1,data11
d50-s11p2-vm5,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.35,10.28.172.1,data11
d50-s11p2-vm6,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.36,10.28.172.1,data11
d50-s11p2-vm7,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.37,10.28.172.1,data11
d50-s11p2-vm8,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.38,10.28.172.1,data11
d50-s11p2-vm9,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.39,10.28.172.1,data11
d50-s11p2-vm10,d50-s11-pm2.virt.daumcorp.com,d50-s11-lun2,10.28.172.40,10.28.172.1,data11
d50-s11p3-vm1,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.51,10.28.172.1,data11
d50-s11p3-vm2,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.52,10.28.172.1,data11
d50-s11p3-vm3,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.53,10.28.172.1,data11
d50-s11p3-vm4,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.54,10.28.172.1,data11
d50-s11p3-vm5,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.55,10.28.172.1,data11
d50-s11p3-vm6,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.56,10.28.172.1,data11
d50-s11p3-vm7,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.57,10.28.172.1,data11
d50-s11p3-vm8,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.58,10.28.172.1,data11
d50-s11p3-vm9,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.59,10.28.172.1,data11
d50-s11p3-vm10,d50-s11-pm3.virt.daumcorp.com,d50-s11-lun3,10.28.172.60,10.28.172.1,data11
d50-s11p4-vm1,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.71,10.28.172.1,data11
d50-s11p4-vm2,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.72,10.28.172.1,data11
d50-s11p4-vm3,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.73,10.28.172.1,data11
d50-s11p4-vm4,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.74,10.28.172.1,data11
d50-s11p4-vm5,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.75,10.28.172.1,data11
d50-s11p4-vm6,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.76,10.28.172.1,data11
d50-s11p4-vm7,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.77,10.28.172.1,data11
d50-s11p4-vm8,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.78,10.28.172.1,data11
d50-s11p4-vm9,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.79,10.28.172.1,data11
d50-s11p4-vm10,d50-s11-pm4.virt.daumcorp.com,d50-s11-lun4,10.28.172.80,10.28.172.1,data11
d50-s11p5-vm1,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.91,10.28.172.1,data11
d50-s11p5-vm2,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.92,10.28.172.1,data11
d50-s11p5-vm3,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.93,10.28.172.1,data11
d50-s11p5-vm4,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.94,10.28.172.1,data11
d50-s11p5-vm5,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.95,10.28.172.1,data11
d50-s11p5-vm6,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.96,10.28.172.1,data11
d50-s11p5-vm7,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.97,10.28.172.1,data11
d50-s11p5-vm8,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.98,10.28.172.1,data11
d50-s11p5-vm9,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.99,10.28.172.1,data11
d50-s11p5-vm10,d50-s11-pm5.virt.daumcorp.com,d50-s11-lun5,10.28.172.100,10.28.172.1,data11
