name,host,datastore,ip,gateway,datastore2
d50-s1p1-vm1,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.11,10.28.162.1,data1
d50-s1p1-vm2,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.12,10.28.162.1,data1
d50-s1p1-vm3,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.13,10.28.162.1,data1
d50-s1p1-vm4,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.14,10.28.162.1,data1
d50-s1p1-vm5,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.15,10.28.162.1,data1
d50-s1p1-vm6,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.16,10.28.162.1,data1
d50-s1p1-vm7,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.17,10.28.162.1,data1
d50-s1p1-vm8,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.18,10.28.162.1,data1
d50-s1p1-vm9,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.19,10.28.162.1,data1
d50-s1p1-vm10,d50-s1-pm1.virt.daumcorp.com,d50-s1-lun1,10.28.162.20,10.28.162.1,data1
d50-s1p2-vm1,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.31,10.28.162.1,data1
d50-s1p2-vm2,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.32,10.28.162.1,data1
d50-s1p2-vm3,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.33,10.28.162.1,data1
d50-s1p2-vm4,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.34,10.28.162.1,data1
d50-s1p2-vm5,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.35,10.28.162.1,data1
d50-s1p2-vm6,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.36,10.28.162.1,data1
d50-s1p2-vm7,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.37,10.28.162.1,data1
d50-s1p2-vm8,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.38,10.28.162.1,data1
d50-s1p2-vm9,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.39,10.28.162.1,data1
d50-s1p2-vm10,d50-s1-pm2.virt.daumcorp.com,d50-s1-lun2,10.28.162.40,10.28.162.1,data1
d50-s1p3-vm1,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.51,10.28.162.1,data1
d50-s1p3-vm2,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.52,10.28.162.1,data1
d50-s1p3-vm3,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.53,10.28.162.1,data1
d50-s1p3-vm4,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.54,10.28.162.1,data1
d50-s1p3-vm5,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.55,10.28.162.1,data1
d50-s1p3-vm6,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.56,10.28.162.1,data1
d50-s1p3-vm7,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.57,10.28.162.1,data1
d50-s1p3-vm8,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.58,10.28.162.1,data1
d50-s1p3-vm9,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.59,10.28.162.1,data1
d50-s1p3-vm10,d50-s1-pm3.virt.daumcorp.com,d50-s1-lun3,10.28.162.60,10.28.162.1,data1
d50-s1p4-vm1,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.71,10.28.162.1,data1
d50-s1p4-vm2,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.72,10.28.162.1,data1
d50-s1p4-vm3,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.73,10.28.162.1,data1
d50-s1p4-vm4,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.74,10.28.162.1,data1
d50-s1p4-vm5,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.75,10.28.162.1,data1
d50-s1p4-vm6,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.76,10.28.162.1,data1
d50-s1p4-vm7,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.77,10.28.162.1,data1
d50-s1p4-vm8,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.78,10.28.162.1,data1
d50-s1p4-vm9,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.79,10.28.162.1,data1
d50-s1p4-vm10,d50-s1-pm4.virt.daumcorp.com,d50-s1-lun4,10.28.162.80,10.28.162.1,data1
d50-s1p5-vm1,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.91,10.28.162.1,data1
d50-s1p5-vm2,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.92,10.28.162.1,data1
d50-s1p5-vm3,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.93,10.28.162.1,data1
d50-s1p5-vm4,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.94,10.28.162.1,data1
d50-s1p5-vm5,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.95,10.28.162.1,data1
d50-s1p5-vm6,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.96,10.28.162.1,data1
d50-s1p5-vm7,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.97,10.28.162.1,data1
d50-s1p5-vm8,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.98,10.28.162.1,data1
d50-s1p5-vm9,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.99,10.28.162.1,data1
d50-s1p5-vm10,d50-s1-pm5.virt.daumcorp.com,d50-s1-lun5,10.28.162.100,10.28.162.1,data1
d50-s1p6-vm1,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.111,10.28.162.1,data1
d50-s1p6-vm2,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.112,10.28.162.1,data1
d50-s1p6-vm3,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.113,10.28.162.1,data1
d50-s1p6-vm4,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.114,10.28.162.1,data1
d50-s1p6-vm5,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.115,10.28.162.1,data1
d50-s1p6-vm6,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.116,10.28.162.1,data1
d50-s1p6-vm7,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.117,10.28.162.1,data1
d50-s1p6-vm8,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.118,10.28.162.1,data1
d50-s1p6-vm9,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.119,10.28.162.1,data1
d50-s1p6-vm10,d50-s1-pm6.virt.daumcorp.com,d50-s1-lun6,10.28.162.120,10.28.162.1,data1
d50-s1p7-vm1,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.131,10.28.162.1,data1
d50-s1p7-vm2,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.132,10.28.162.1,data1
d50-s1p7-vm3,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.133,10.28.162.1,data1
d50-s1p7-vm4,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.134,10.28.162.1,data1
d50-s1p7-vm5,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.135,10.28.162.1,data1
d50-s1p7-vm6,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.136,10.28.162.1,data1
d50-s1p7-vm7,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.137,10.28.162.1,data1
d50-s1p7-vm8,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.138,10.28.162.1,data1
d50-s1p7-vm9,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.139,10.28.162.1,data1
d50-s1p7-vm10,d50-s1-pm7.virt.daumcorp.com,d50-s1-lun7,10.28.162.140,10.28.162.1,data1
d50-s1p8-vm1,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.151,10.28.162.1,data1
d50-s1p8-vm2,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.152,10.28.162.1,data1
d50-s1p8-vm3,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.153,10.28.162.1,data1
d50-s1p8-vm4,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.154,10.28.162.1,data1
d50-s1p8-vm5,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.155,10.28.162.1,data1
d50-s1p8-vm6,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.156,10.28.162.1,data1
d50-s1p8-vm7,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.157,10.28.162.1,data1
d50-s1p8-vm8,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.158,10.28.162.1,data1
d50-s1p8-vm9,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.159,10.28.162.1,data1
d50-s1p8-vm10,d50-s1-pm8.virt.daumcorp.com,d50-s1-lun8,10.28.162.160,10.28.162.1,data1
