name,host,datastore,ip,gateway,datastore1
d50-s3p6-vm3,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.113,10.28.164.1,data3
d50-s3p6-vm4,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.114,10.28.164.1,data3
d50-s3p6-vm5,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.115,10.28.164.1,data3
d50-s3p6-vm6,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.116,10.28.164.1,data3
d50-s3p6-vm7,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.117,10.28.164.1,data3
d50-s3p6-vm8,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.118,10.28.164.1,data3
d50-s3p6-vm9,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.119,10.28.164.1,data3
d50-s3p6-vm10,d50-s3-pm6.virt.daumcorp.com,d50-s3-lun6,10.28.164.120,10.28.164.1,data3
d50-s3p7-vm1,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.131,10.28.164.1,data3
d50-s3p7-vm2,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.132,10.28.164.1,data3
d50-s3p7-vm3,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.133,10.28.164.1,data3
d50-s3p7-vm4,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.134,10.28.164.1,data3
d50-s3p7-vm5,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.135,10.28.164.1,data3
d50-s3p7-vm6,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.136,10.28.164.1,data3
d50-s3p7-vm7,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.137,10.28.164.1,data3
d50-s3p7-vm8,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.138,10.28.164.1,data3
d50-s3p7-vm9,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.139,10.28.164.1,data3
d50-s3p7-vm10,d50-s3-pm7.virt.daumcorp.com,d50-s3-lun7,10.28.164.140,10.28.164.1,data3
d50-s3p8-vm1,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.151,10.28.164.1,data3
d50-s3p8-vm2,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.152,10.28.164.1,data3
d50-s3p8-vm3,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.153,10.28.164.1,data3
d50-s3p8-vm4,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.154,10.28.164.1,data3
d50-s3p8-vm5,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.155,10.28.164.1,data3
d50-s3p8-vm6,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.156,10.28.164.1,data3
d50-s3p8-vm7,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.157,10.28.164.1,data3
d50-s3p8-vm8,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.158,10.28.164.1,data3
d50-s3p8-vm9,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.159,10.28.164.1,data3
d50-s3p8-vm10,d50-s3-pm8.virt.daumcorp.com,d50-s3-lun8,10.28.164.160,10.28.164.1,data3
