name,host,datastore,ip,gateway,datastore1
d50-s10p1-vm1,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.11,10.28.171.1,data10
d50-s10p1-vm2,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.12,10.28.171.1,data10
d50-s10p1-vm3,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.13,10.28.171.1,data10
d50-s10p1-vm4,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.14,10.28.171.1,data10
d50-s10p1-vm5,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.15,10.28.171.1,data10
d50-s10p1-vm6,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.16,10.28.171.1,data10
d50-s10p1-vm7,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.17,10.28.171.1,data10
d50-s10p1-vm8,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.18,10.28.171.1,data10
d50-s10p1-vm9,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.19,10.28.171.1,data10
d50-s10p1-vm10,d50-s10-pm1.virt.daumcorp.com,d50-s10-lun1,10.28.171.20,10.28.171.1,data10
d50-s10p2-vm1,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.31,10.28.171.1,data10
d50-s10p2-vm2,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.32,10.28.171.1,data10
d50-s10p2-vm3,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.33,10.28.171.1,data10
d50-s10p2-vm4,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.34,10.28.171.1,data10
d50-s10p2-vm5,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.35,10.28.171.1,data10
d50-s10p2-vm6,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.36,10.28.171.1,data10
d50-s10p2-vm7,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.37,10.28.171.1,data10
d50-s10p2-vm8,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.38,10.28.171.1,data10
d50-s10p2-vm9,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.39,10.28.171.1,data10
d50-s10p2-vm10,d50-s10-pm2.virt.daumcorp.com,d50-s10-lun2,10.28.171.40,10.28.171.1,data10
d50-s10p3-vm1,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.51,10.28.171.1,data10
d50-s10p3-vm2,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.52,10.28.171.1,data10
d50-s10p3-vm3,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.53,10.28.171.1,data10
d50-s10p3-vm4,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.54,10.28.171.1,data10
d50-s10p3-vm5,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.55,10.28.171.1,data10
d50-s10p3-vm6,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.56,10.28.171.1,data10
d50-s10p3-vm7,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.57,10.28.171.1,data10
d50-s10p3-vm8,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.58,10.28.171.1,data10
d50-s10p3-vm9,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.59,10.28.171.1,data10
d50-s10p3-vm10,d50-s10-pm3.virt.daumcorp.com,d50-s10-lun3,10.28.171.60,10.28.171.1,data10
d50-s10p4-vm1,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.71,10.28.171.1,data10
d50-s10p4-vm2,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.72,10.28.171.1,data10
d50-s10p4-vm3,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.73,10.28.171.1,data10
d50-s10p4-vm4,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.74,10.28.171.1,data10
d50-s10p4-vm5,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.75,10.28.171.1,data10
d50-s10p4-vm6,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.76,10.28.171.1,data10
d50-s10p4-vm7,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.77,10.28.171.1,data10
d50-s10p4-vm8,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.78,10.28.171.1,data10
d50-s10p4-vm9,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.79,10.28.171.1,data10
d50-s10p4-vm10,d50-s10-pm4.virt.daumcorp.com,d50-s10-lun4,10.28.171.80,10.28.171.1,data10
